C-9A,JT9D-9A,Takeoff (1.97 EPR),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,117.9,117.9,122.7,122.9,114.2,114.2,128,128.2
250,116.3,116.3,121,121.2,112,112,125.7,125.9
315,114.7,113.5,119.2,118.5,109.8,108.6,123.4,122.7
400,113,110.8,117.4,115.8,107.5,105.3,120.9,119.4
500,111.3,108.2,115.4,113.2,105.2,102.2,118.4,116.2
630,109.5,105.6,113.3,110.4,102.8,99,115.7,112.8
800,107.6,103.1,111.1,107.4,100.4,95.8,112.8,109.2
1000,105.7,100.5,108.7,104.3,97.9,92.6,109.9,105.5
1250,103.8,97.9,106.3,101.1,95.3,89.4,106.9,101.6
1600,101.7,95.6,103.9,98.2,92.7,86.5,103.9,98.2
2000,99.6,93.3,101.6,95.3,89.9,83.6,101,94.6
2500,97.4,90.9,99.2,92.3,87.1,80.7,97.9,91
3150,95,88.6,96.7,89.2,84.2,77.7,94.8,87.4
4000,92.6,86.1,93.8,85.9,81.1,74.7,91.5,83.5
5000,89.9,83.4,90.9,82.4,77.9,71.3,88,79.5
6300,87.2,80.5,87.7,79,74.5,67.8,84.3,75.6
8000,84.2,77.2,84.4,75.5,70.9,63.9,80.5,71.6
10000,81,73.5,80.8,71.6,67.2,59.6,76.4,67.2
12500,77.6,68.9,77.3,66.9,63.2,54.4,72.2,61.9
16000,74,63.7,73.5,61.5,59,48.7,67.9,55.9
20000,70.2,58.2,69.6,55.7,54.5,42.6,63.3,49.5
25000,66.1,52.6,65.3,48.4,49.8,36.3,58.5,41.5
