CH-53E,T64-GE-416A,Cruise (68% Q-BPA),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,103.3,103.3,106.2,106.8,102.4,102.4,113.9,114.5
250,101.9,101.9,104.7,105.3,100.3,100.3,111.8,112.4
315,100.4,97.9,103.2,101.3,98.2,95.8,109.7,107.7
400,98.9,94.4,101.7,98.5,96.1,91.6,107.6,104.4
500,97.4,91.9,100.1,96,94,88.5,105.4,101.3
630,95.8,89.5,98.5,93.4,91.9,85.5,103.1,98.1
800,94.3,87.3,96.8,90.8,89.7,82.7,100.9,94.9
1000,92.7,85.2,95,88.2,87.5,80,98.5,91.6
1250,91,83.2,93.3,85.7,85.2,77.4,96.2,88.6
1600,89.3,81.2,91.4,83.4,82.9,74.9,93.7,85.7
2000,87.5,79.3,89.5,81.1,80.5,72.3,91.2,82.8
2500,85.6,77.4,87.5,78.8,78,69.9,88.6,79.9
3150,83.7,75.6,85.4,76.5,75.5,67.4,85.9,77
4000,81.6,73.7,83,73.8,72.8,64.9,83.1,73.9
5000,79.4,71.5,80.5,70.9,70.1,62.1,80.2,70.5
6300,77.1,69.2,77.9,68,67.1,59.3,77.1,67.2
8000,74.7,66.7,75,65.2,64.1,56.1,73.8,64
10000,72,63.8,72,62.1,60.8,52.6,70.4,60.5
12500,69.2,60.1,68.9,58.3,57.4,48.3,66.7,56.1
16000,66.1,55.9,65.5,53.8,53.8,43.6,62.7,50.9
20000,62.8,51.6,61.7,47.9,49.8,38.6,58.2,44.5
25000,59.2,47.2,57.4,41.2,45.6,33.6,53.4,37.2
