CH-46E,T58-GE-16,Level LPA (86% Q-BPA),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,90.7,90.7,94.5,94.5,92.9,92.9,104.6,104.6
250,89.3,89.3,93,93,90.8,90.8,102.5,102.5
315,87.8,84.6,91.5,89.3,88.8,85.5,100.4,98.1
400,86.4,80,89.9,85.2,86.7,80.3,98.2,93.4
500,84.9,77.2,88.3,82.4,84.6,77,96,90.1
630,83.4,74.7,86.7,79.6,82.5,73.8,93.8,86.7
800,81.9,72.5,85,76.7,80.4,71,91.5,83.2
1000,80.3,70.5,83.3,73.9,78.2,68.4,89.2,79.7
1250,78.7,68.5,81.6,71.4,76.1,65.9,86.8,76.7
1600,77.1,66.7,79.7,69.2,73.8,63.4,84.4,73.9
2000,75.4,64.9,77.9,67.1,71.5,61,81.9,71.2
2500,73.7,63.2,75.9,65,69.2,58.7,79.4,68.5
3150,71.8,61.4,73.8,62.9,66.8,56.4,76.7,65.7
4000,69.9,59.7,71.5,60.5,64.2,54,74,63
5000,67.9,57.7,68.9,57.8,61.6,51.4,71.1,60
6300,65.7,55.7,66.2,55.1,58.9,48.9,68,56.8
8000,63.5,53.5,63.4,52.2,56,46.1,64.8,53.6
10000,61,51,60.4,48.9,52.9,43,61.4,49.9
12500,58.3,47.8,57.4,44.7,49.7,39.2,57.8,45.1
16000,55.5,44.2,54,39.5,46.2,34.9,53.8,39.3
20000,52.3,40.4,50.3,32.9,42.5,30.5,49.5,32.1
25000,49,36.7,45.5,23.4,38.5,26.2,44,22
