CH-46E,T58-GE-16,Max Power (98% Q-BPA),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,91.7,91.7,97,97.2,88.7,88.7,104.9,105
250,90.3,90.3,95.5,95.7,86.7,86.7,102.8,102.9
315,88.8,87.1,94,92.8,84.6,82.9,100.7,99.5
400,87.4,83.9,92.4,89.6,82.5,79.1,98.5,95.7
500,85.9,81.5,90.8,87.1,80.5,76,96.3,92.6
630,84.4,79,89.2,84.4,78.4,73,94.1,89.3
800,82.9,76.5,87.5,82.1,76.2,69.9,91.7,86.3
1000,81.3,74.2,85.7,79.6,74.1,67,89.4,83.2
1250,79.8,72,83.9,77,71.9,64.2,87,80
1600,78.2,69.7,82.1,74,69.8,61.3,84.6,76.5
2000,76.6,67.6,80.2,71.4,67.5,58.6,82.1,73.2
2500,74.9,65.5,78.2,68.3,65.3,55.8,79.4,69.6
3150,73.2,63.2,76.1,65.3,63,53,76.7,65.9
4000,71.4,61,73.8,62.1,60.6,50.2,73.9,62.2
5000,69.6,58.7,71.3,58.5,58.2,47.2,70.9,58.1
6300,67.8,56.4,68.8,54.8,55.7,44.4,67.9,53.8
8000,65.8,54.3,66.2,51.3,53.2,41.7,64.6,49.8
10000,63.8,52,63.3,47.6,50.5,38.8,61.3,45.5
12500,61.6,49.5,60.5,43.1,47.8,35.7,57.8,40.4
16000,59.3,47,57.5,38.1,44.9,32.6,54.2,34.8
20000,56.8,44.6,54.2,32.4,41.8,29.6,50.4,28.6
25000,54.2,42.3,50.4,24.6,38.6,26.7,46,20.2
