E-2C,T56-A-427,Intermediate (4000 ISHP),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,103.5,103.5,110.7,110.9,100.8,100.8,116.5,116.7
250,102,102,109.2,109.4,98.7,98.7,114.4,114.6
315,100.5,98.3,107.7,106.4,96.7,94.5,112.2,110.9
400,99,94.9,106.1,103.1,94.6,90.5,110.1,107.1
500,97.5,92.4,104.5,100.6,92.5,87.3,107.9,104
630,96,89.8,102.9,98.5,90.3,84.2,105.6,101.3
800,94.4,87.3,101.2,96.5,88.2,81.1,103.3,98.6
1000,92.8,85,99.4,94.4,86,78.1,101,96
1250,91.2,82.8,97.7,92.4,83.8,75.3,98.6,93.4
1600,89.6,80.8,95.8,90.5,81.5,72.7,96.2,90.8
2000,87.9,78.8,93.9,88.4,79.3,70.1,93.7,88.1
2500,86.2,76.8,92,86,76.9,67.5,91.1,85.2
3150,84.4,74.7,89.9,83.4,74.6,64.8,88.5,82
4000,82.6,72.4,87.4,79.9,72.2,62,85.5,78
5000,80.7,69.9,84.7,76,69.7,58.9,82.4,73.6
6300,78.8,67.4,81.9,71.9,67.1,55.8,79.2,69.2
8000,76.7,65.1,79,68.9,64.4,52.8,75.8,65.8
10000,74.5,62.7,75.9,65.7,61.7,49.8,72.3,62.1
12500,72.2,59.9,73.2,62.4,58.7,46.4,69,58.2
16000,69.7,57.1,70.2,59,55.6,43.1,65.4,54.2
20000,67,54.5,67.1,55.4,52.3,39.8,61.7,50
25000,64,51.9,63.6,51.5,48.8,36.6,57.6,45.5
