EA-6B,J52-P-408,Intermediate (85% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,134.4,134.4,139,139.1,124.9,124.9,139.7,139.8
250,132.6,132.6,137.2,137.3,122.6,122.6,137.4,137.4
315,130.9,130.3,135.4,134.7,120.3,119.7,134.9,134.2
400,129,128,133.4,131.9,117.8,116.8,132.3,130.8
500,127.1,125.4,131.4,129.3,115.3,113.6,129.7,127.6
630,125,122.7,129.2,126.5,112.6,110.3,126.9,124.2
800,122.8,119.9,126.7,123.4,109.8,106.9,123.9,120.6
1000,120.6,117,124.1,120.2,107,103.4,120.6,116.7
1250,118.3,114,121.3,116.7,104.1,99.8,117.2,112.7
1600,115.9,111.4,118.4,113.6,101.1,96.6,113.7,108.9
2000,113.5,108.7,115.3,110.3,98.1,93.3,110,105
2500,110.9,106.1,112.1,107,94.9,90,106.2,101.1
3150,108.3,103.4,109.3,103.8,91.7,86.8,102.9,97.3
4000,105.6,100.8,106.2,100.3,88.3,83.6,99.3,93.3
5000,102.7,97.8,103.1,96.4,84.9,80,95.7,89
6300,99.7,94.6,99.8,92.1,81.3,76.2,92,84.3
8000,96.7,90.9,96.3,87.6,77.6,71.9,88.1,79.3
10000,93.4,86.8,92.7,83.1,73.8,67.1,84,74.4
12500,90,81.7,89.1,78.1,69.8,61.5,79.8,68.8
16000,86.4,76.2,85.2,72.9,65.6,55.4,75.3,63
20000,82.6,70.5,80.9,67,61.1,49.1,70.4,56.5
25000,78.4,64.7,76.1,61,56.4,42.7,65.1,49.9
