F-16A,F100-PW-100,Traffic pattern (75% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,94.5,94.5,98.1,98.1,89.9,89.9,102.4,102.5
250,93,93,96.5,96.5,87.8,87.8,100.2,100.3
315,91.5,90.1,94.9,94.1,85.6,84.2,98,97.2
400,89.9,87.2,93.2,91.4,83.5,80.8,95.7,94
500,88.3,84.8,91.4,89,81.3,77.7,93.3,90.9
630,86.7,82.4,89.5,86.3,79,74.8,90.8,87.6
800,85,80.1,87.5,83.5,76.8,71.9,88.2,84.2
1000,83.3,77.9,85.4,80.6,74.4,69.1,85.5,80.8
1250,81.5,75.7,83.3,77.7,72,66.3,82.8,77.2
1600,79.6,73.7,81.1,75.1,69.5,63.7,80,74
2000,77.6,71.8,78.8,72.5,67,61.1,77.1,70.8
2500,75.6,69.8,76.4,69.9,64.3,58.5,74.1,67.6
3150,73.4,67.8,73.8,67.2,61.6,56,71,64.3
4000,71.1,65.8,71.1,64.3,58.6,53.4,67.7,60.9
5000,68.6,63.5,68.2,61.3,55.6,50.5,64.3,57.4
6300,66,61.1,65.1,58.1,52.4,47.4,60.7,53.8
8000,63.2,58.2,61.8,54.5,48.9,44,56.9,49.7
10000,60.2,55,58.2,49.7,45.3,40.1,52.9,44.4
12500,56.9,50.7,54.5,43.9,41.5,35.2,48.6,37.9
16000,53.5,45.8,50.2,36.9,37.5,29.8,43.7,30.3
20000,49.9,40.5,45.4,26.8,33.2,23.9,38.2,19.7
25000,46.1,34.9,39.9,16.8,28.8,17.6,32.1,9
