F-16A,F100-PW-100,Intermediate (85% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,110.9,110.9,113.9,114,105.7,105.7,118.2,118.3
250,109.4,109.4,112.3,112.4,103.6,103.6,116,116
315,107.8,106.1,110.6,109.8,101.4,99.7,113.7,112.8
400,106.2,103.2,108.9,107.1,99.3,96.2,111.3,109.5
500,104.6,100.7,107.1,104.5,97.1,93.1,108.9,106.3
630,103,98.2,105.3,101.8,94.8,90,106.6,103
800,101.3,95.8,103.5,98.9,92.5,87,104.1,99.6
1000,99.5,93.4,101.5,96,90.2,84.1,101.6,96.1
1250,97.7,91.1,99.5,93,87.7,81.2,99,92.5
1600,95.8,89,97.5,90.3,85.2,78.4,96.3,89.2
2000,93.8,86.8,95.3,87.7,82.6,75.7,93.6,85.9
2500,91.7,84.7,93.1,84.9,80,72.9,90.7,82.6
3150,89.5,82.5,90.7,82.2,77.2,70.1,87.8,79.2
4000,87.2,80.2,88.1,79.2,74.2,67.2,84.6,75.7
5000,84.7,77.7,85.2,75.8,71.2,64.1,81.2,71.8
6300,82.1,74.9,82.3,72.7,67.9,60.8,77.8,68.2
8000,79.3,71.8,79.2,69.4,64.6,57.1,74.1,64.4
10000,76.3,68.4,75.8,65.7,61,53,70.2,60.1
12500,73.2,64.1,72.3,61.3,57.2,48.1,66.1,55.1
16000,69.7,59.2,68.5,55.9,53.2,42.6,61.7,49.1
20000,66.1,54,64.2,49.3,48.9,36.8,56.8,41.9
25000,62.1,48.5,59.9,41.6,44.4,30.7,51.9,33.6
