F-16A,F100-PW-100,Afterburner (90% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,132.6,132.6,137.4,137.3,128.8,128.8,144.4,144.3
250,130.9,130.9,135.7,135.6,126.5,126.5,142.1,142
315,129.2,128.1,133.9,132.7,124.3,123.1,139.7,138.5
400,127.5,125.3,132.1,129.5,121.9,119.7,137.3,134.7
500,125.7,122.8,130.1,127,119.5,116.6,134.7,131.6
630,123.9,120.3,128,124.4,117.1,113.5,132,128.4
800,121.9,117.6,125.7,121.6,114.5,110.3,129.1,125
1000,120,115,123.4,118.9,112,107.1,126.2,121.6
1250,117.9,112.1,121,115.5,109.3,103.5,123.2,117.7
1600,115.8,109.5,118.6,112.4,106.6,100.3,120.2,114
2000,113.6,107,116.2,109.2,103.9,97.3,117.2,110.2
2500,111.5,104.7,113.7,106.1,101.1,94.3,114.1,106.5
3150,109.3,102.4,111.2,103,98.3,91.4,111,102.8
4000,107,100.1,108.4,99.8,95.4,88.5,107.6,99
5000,104.6,97.6,105.6,96.4,92.4,85.4,104.2,95
6300,102,94.9,102.7,93,89.3,82.1,100.7,91
8000,99.3,91.9,99.7,89.8,86,78.5,97.1,87.3
10000,96.5,88.5,96.5,86.3,82.5,74.5,93.3,83.1
12500,93.4,84.3,93.3,82.2,78.8,69.8,89.5,78.4
16000,90.1,79.6,89.8,77.7,75,64.5,85.4,73.3
20000,86.6,74.6,86.3,72.7,70.8,58.8,81.4,67.7
25000,82.8,69.4,82.6,67.5,66.5,53,77,62
