F-16A,F100-PW-100,Takeoff (90% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,121.8,121.8,125.4,126,116.9,116.9,128.1,128.7
250,120.2,120.2,123.8,124.4,114.7,114.7,125.9,126.5
315,118.6,117.5,122.1,122.1,112.5,111.4,123.5,123.6
400,117,114.9,120.3,119.7,110.3,108.2,121.2,120.6
500,115.4,112.5,118.4,117.2,108.1,105.2,118.7,117.4
630,113.7,110,116.5,114.5,105.8,102.1,116.1,114.2
800,111.9,107.7,114.4,111.7,103.4,99.2,113.5,110.8
1000,110.1,105.3,112.2,108.8,101,96.2,110.7,107.3
1250,108.2,103,110.1,105.8,98.5,93.3,108,103.7
1600,106.2,100.9,107.9,103.2,95.9,90.6,105.2,100.5
2000,104.2,98.8,105.6,100.6,93.3,87.9,102.2,97.3
2500,102,96.7,103.1,97.9,90.5,85.2,99.2,94
3150,99.6,94.6,100.5,95.2,87.5,82.5,96,90.7
4000,97.1,92.5,97.5,92.2,84.4,79.8,92.6,87.3
5000,94.4,90.2,94.4,88.9,81.1,76.9,89.1,83.6
6300,91.5,87.7,91,85.7,77.6,73.8,85.3,80.1
8000,88.3,84.7,87.4,82.4,73.8,70.2,81.3,76.4
10000,84.8,81.4,83.4,78.8,69.7,66.3,77,72.3
12500,80.8,77,79.3,74.3,65.1,61.3,72.3,67.2
16000,76.4,72,74.8,69,60.1,55.7,67.2,61.3
20000,71.5,66.3,70,62.9,54.6,49.4,61.7,54.6
25000,66.1,59.8,64.5,55.4,48.6,42.3,55.7,46.6
