F-16A,F100-PW-100,Intermediate military (92% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,124.3,124.3,128.2,128.4,118.3,118.3,132.1,132.3
250,122.7,122.7,126.6,126.8,116.1,116.1,129.9,130.1
315,121,120.1,124.8,124.2,113.8,112.9,127.5,126.9
400,119.3,117.6,122.9,121.6,111.5,109.7,125,123.7
500,117.6,115.1,121,119,109.1,106.7,122.5,120.5
630,115.8,112.5,118.9,116.2,106.7,103.5,119.8,117.1
800,113.9,110,116.8,113.4,104.3,100.4,117.1,113.7
1000,112,107.4,114.5,110.4,101.8,97.2,114.2,110.1
1250,110,104.9,112.1,107.2,99.2,94.1,111.2,106.3
1600,107.9,102.6,109.5,104.3,96.5,91.2,108,102.8
2000,105.8,100.3,106.8,101.5,93.8,88.3,104.7,99.4
2500,103.5,98.1,104.1,98.6,90.9,85.4,101.5,95.9
3150,101.2,95.8,101.5,95.7,87.9,82.6,98.2,92.4
4000,98.7,93.5,98.7,92.6,84.8,79.7,94.9,88.8
5000,96,90.9,95.8,89.3,81.6,76.5,91.4,84.9
6300,93.2,88.1,92.7,85.8,78.2,73.1,87.8,80.8
8000,90.2,84.9,89.4,82,74.6,69.2,84,76.6
10000,87.1,81.2,86,78.4,70.8,65,80,72.4
12500,83.7,76.6,82.7,74,66.9,59.8,76.1,67.4
16000,80.2,71.4,79.2,68.7,62.8,54,72,61.5
20000,76.5,65.8,75.5,62.7,58.4,47.8,67.7,54.9
25000,72.5,60,71.4,56.2,53.9,41.3,63,47.8
