F-18A&C,F404-GE-400&402,Cruise (88% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,116.5,116.5,120.5,120.5,112.9,112.9,125.6,125.6
250,114.9,114.9,118.8,118.8,110.7,110.7,123.4,123.4
315,113.3,112.7,117.1,116.5,108.5,107.9,121,120.4
400,111.6,110.6,115.3,114.1,106.2,105.2,118.6,117.4
500,109.8,108.2,113.3,111.6,103.8,102.2,116.1,114.3
630,108,105.6,111.3,108.9,101.4,99,113.5,111
800,106.2,103.1,109.2,106.1,99,95.9,110.8,107.6
1000,104.2,100.5,107,103.1,96.4,92.7,107.9,104
1250,102.1,97.8,104.6,99.9,93.7,89.4,104.9,100.2
1600,99.9,95.5,101.9,97.2,90.9,86.5,101.7,96.9
2000,97.7,93.2,99.2,94.4,88.1,83.6,98.3,93.5
2500,95.2,90.8,96.3,91.6,85,80.6,94.8,90.1
3150,92.7,88.5,93.2,88.7,81.9,77.7,91.1,86.6
4000,90,86.2,89.6,85.6,78.6,74.8,87.2,83.2
5000,87.1,83.5,86.4,82.1,75.1,71.5,83.6,79.4
6300,84.1,80.6,83,78.4,71.5,68,79.9,75.3
8000,80.8,77.2,79.4,74.2,67.6,64,76,70.8
10000,77.4,73.3,75.6,69.3,63.6,59.5,71.9,65.6
12500,73.7,68.4,71.8,64.1,59.4,54,67.5,59.8
16000,69.8,63,67.6,58.5,54.8,48,62.7,53.6
20000,65.6,57.2,63,52.1,50,41.6,57.5,46.6
25000,61,51.1,57.9,43.9,44.8,34.9,51.8,37.8
