F-18A&C,F404-GE-400&402,Afterburner (96.70% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,135.2,135.2,140.1,140.2,131.9,131.9,147,147.2
250,133.6,133.6,138.4,138.6,129.7,129.7,144.7,144.9
315,132,130.7,136.6,135.7,127.4,126.2,142.4,141.4
400,130.2,127.9,134.8,132.4,125.1,122.7,139.9,137.5
500,128.5,125.4,132.9,129.9,122.7,119.7,137.4,134.5
630,126.6,122.9,130.8,127.3,120.3,116.5,134.7,131.3
800,124.7,120.3,128.6,124.6,117.8,113.4,131.9,128
1000,122.7,117.7,126.1,121.8,115.2,110.1,128.9,124.6
1250,120.7,114.8,123.4,118.5,112.5,106.7,125.6,120.7
1600,118.6,112.4,121,115.5,109.9,103.6,122.6,117
2000,116.6,110,118.6,112.4,107.2,100.6,119.6,113.4
2500,114.4,107.7,116.2,109.3,104.5,97.7,116.5,109.6
3150,112.2,105.5,113.7,106.3,101.7,94.9,113.4,106
4000,110,103.3,110.8,103.1,98.8,92.1,110.1,102.4
5000,107.6,100.8,107.9,99.7,95.8,89.1,106.7,98.5
6300,105,98.3,104.9,96.3,92.7,85.9,103.2,94.6
8000,102.3,95.4,101.8,93.1,89.4,82.4,99.6,90.9
10000,99.4,92.1,98.5,89.7,85.9,78.6,95.8,87.1
12500,96.3,88,95.2,85.9,82.2,73.9,92,82.7
16000,93,83.4,92,81.6,78.2,68.6,88.2,77.8
20000,89.4,78.3,88.7,76.7,74,63,84.3,72.3
25000,85.5,73,85.2,71.4,69.5,57,80.2,66.4
