F-18E&F,F414-GE-400,Cruise (83.5% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,120.2,120.2,123.4,123.4,115.7,115.7,127.6,127.6
250,118.7,118.7,121.7,121.7,113.6,113.6,125.3,125.3
315,117.1,116.7,120,119.4,111.4,111,123,122.4
400,115.4,114.7,118.2,117.1,109.2,108.4,120.7,119.5
500,113.8,112.3,116.4,114.6,106.9,105.4,118.2,116.5
630,112,109.8,114.4,112,104.5,102.4,115.7,113.3
800,110.2,107.4,112.3,109.3,102.1,99.3,113,109.9
1000,108.3,104.9,110.2,106.4,99.6,96.2,110.2,106.5
1250,106.3,102.5,108,103.5,97,93.2,107.5,102.9
1600,104.2,100.3,105.7,101,94.3,90.4,104.6,99.9
2000,101.9,98.1,103.3,98.6,91.4,87.6,101.5,96.8
2500,99.5,95.8,100.6,96,88.4,84.8,98.2,93.7
3150,96.9,93.6,97.7,93.4,85.2,82,94.7,90.5
4000,94.1,91.4,94.3,90.7,81.8,79.1,90.9,87.3
5000,91,88.9,90.6,87.5,78.2,76,86.8,83.8
6300,87.8,86.1,86.5,84.2,74.3,72.6,82.3,80
8000,84.2,82.7,82.7,80.3,70.2,68.6,78.1,75.7
10000,80.5,78.7,79,75.7,65.8,64.1,74,70.7
12500,76.6,73.5,75.2,69.7,61.3,58.3,69.6,64.1
16000,72.4,67.6,71.1,63.2,56.6,51.7,64.9,57
20000,68.2,61.2,66.6,56.9,51.7,44.8,59.8,50.2
25000,63.7,54.6,61.7,49.4,46.7,37.6,54.3,42
