F-35B,F-135-PW-600,Flight idle (15% ETR),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,106.6,106.6,113.2,113.1,103.2,103.2,119.5,119.4
250,104.8,104.8,111.2,111.2,100.7,100.7,116.9,116.9
315,102.9,101.7,109.1,108,98.2,97.1,114.2,113.1
400,100.8,98.6,106.8,104.4,95.6,93.4,111.3,108.9
500,98.7,95.8,104.4,101.4,92.9,89.9,108.3,105.3
630,96.5,92.7,101.7,98.3,90.1,86.2,105,101.6
800,94.3,89.6,99.2,94.9,87.2,82.5,101.9,97.6
1000,92,86.3,96.7,91.3,84.3,78.6,98.8,93.4
1250,89.7,82.9,93.8,87,81.4,74.7,95.3,88.5
1600,87.4,80,90.9,82.9,78.5,71.2,91.8,83.8
2000,85,77.2,88.1,79.1,75.6,67.7,88.3,79.4
2500,82.6,74.4,85.1,75.4,72.5,64.3,84.8,75.1
3150,80,71.6,82.1,72.2,69.3,60.9,81.2,71.3
4000,77.2,68.7,78.4,68.5,65.9,57.4,77,67.1
5000,74.2,65.5,74.4,64.6,62.3,53.6,72.6,62.7
6300,70.8,62.2,70.2,60.5,58.4,49.7,67.8,58.1
8000,67.2,58.6,65.5,55.7,54.1,45.5,62.7,52.9
10000,63,54.6,60.2,50.1,49.4,40.9,57,46.8
12500,58.4,49.6,54.9,43.7,44.1,35.3,51,39.8
16000,53.3,43.7,48.3,35.6,38.4,28.8,43.8,31.1
20000,47.7,37.1,40.7,23.5,32.2,21.7,35.6,18.4
25000,41.8,30.8,31.8,11.4,25.8,14.8,26.2,5.8
