F-35B,F-135-PW-600,Level flight (29% ETR),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,104.3,104.3,110.3,110.5,99.5,99.5,113.9,114.1
250,102.7,102.7,108.7,108.9,97.4,97.4,111.7,111.9
315,101.2,99.7,107,106.5,95.2,93.8,109.4,108.9
400,99.6,97,105.3,103.9,93,90.5,107.1,105.6
500,97.9,94.5,103.5,101.4,90.8,87.4,104.7,102.5
630,96.2,92,101.6,98.7,88.5,84.3,102.2,99.3
800,94.5,89.5,99.5,95.8,86.2,81.2,99.5,95.8
1000,92.7,87.1,97.3,92.8,83.8,78.2,96.7,92.2
1250,90.9,84.7,94.9,89.6,81.4,75.2,93.7,88.4
1600,89,82.6,92.5,86.8,78.9,72.5,90.7,85
2000,87,80.5,90.2,83.9,76.3,69.8,87.8,81.5
2500,84.9,78.4,87.8,81.1,73.6,67.1,84.8,78.1
3150,82.8,76.3,85.4,78.4,70.8,64.4,81.8,74.7
4000,80.5,74.1,82.3,75,67.9,61.6,78.4,71.1
5000,78,71.7,79.1,71.4,64.9,58.6,74.8,67.1
6300,75.5,69.2,75.8,67.5,61.7,55.4,71.2,62.8
8000,72.7,66.2,72.4,63.8,58.4,51.9,67.4,58.8
10000,69.8,62.9,68.7,59.9,54.9,48,63.3,54.6
12500,66.6,58.8,65.1,55.2,51.1,43.2,59.2,49.3
16000,63.3,54,61.3,49.4,47.2,37.9,54.8,42.8
20000,59.7,49,57.2,42.9,43,32.3,50.1,35.7
25000,55.9,43.7,52.3,33.3,38.6,26.4,44.5,25.5
