F-35B,F-135-PW-600,Approach clean (40% ETR),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,108.8,108.8,114.3,114.9,105.3,105.3,118.3,118.9
250,107.2,107.2,112.7,113.3,103.2,103.2,116.1,116.7
315,105.6,104.5,111,110.9,101,99.9,113.8,113.7
400,104,101.9,109.2,108.3,98.8,96.7,111.5,110.6
500,102.4,99.5,107.4,105.8,96.6,93.7,109,107.4
630,100.7,97.1,105.5,103.1,94.3,90.7,106.5,104.2
800,98.9,94.6,103.4,100.3,91.9,87.6,103.9,100.8
1000,97.1,92.2,101.3,97.5,89.5,84.6,101.1,97.3
1250,95.2,89.8,99,94.4,87,81.6,98.3,93.6
1600,93.3,87.7,96.5,91.7,84.5,78.9,95.2,90.3
2000,91.2,85.6,94,88.9,81.8,76.2,92,87
2500,89.1,83.4,91.6,86.2,79.1,73.4,89,83.6
3150,86.8,81.3,89.1,83.5,76.2,70.7,86,80.3
4000,84.4,79.2,86.2,80.3,73.2,68,82.8,76.9
5000,81.9,76.8,83.2,76.8,70.1,65,79.5,73.2
6300,79.2,74.2,80,73,66.8,61.8,76.1,69.1
8000,76.4,71.2,76.6,69.1,63.4,58.2,72.5,64.9
10000,73.4,67.7,73,65.2,59.8,54.1,68.6,60.7
12500,70.1,63.4,69.5,60.8,55.9,49.2,64.5,55.7
16000,66.7,58.5,65.7,55.3,51.9,43.7,60.1,49.6
20000,63.1,53.2,61.7,48.9,47.7,37.8,55.4,42.6
25000,59.2,47.7,57,41.1,43.2,31.7,50.2,34.3
