F-35B,F-135-PW-600,82% ETR,160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,123.7,123.7,128.4,129.2,122.1,122.1,136.1,136.8
250,122.1,122.1,126.8,127.6,119.9,119.9,133.8,134.6
315,120.5,119.4,125.1,124.7,117.7,116.6,131.5,131.2
400,118.8,116.8,123.3,122.1,115.4,113.4,129.1,127.9
500,117.1,114.3,121.4,119.6,113.1,110.4,126.6,124.8
630,115.3,111.8,119.4,117,110.7,107.3,124,121.6
800,113.4,109.3,117.3,114.2,108.3,104.2,121.3,118.3
1000,111.5,106.7,114.9,111.3,105.7,101,118.3,114.7
1250,109.5,104.2,112.5,108.1,103.2,97.8,115.3,110.9
1600,107.5,101.9,109.9,105.3,100.6,94.9,112.2,107.5
2000,105.5,99.6,107.4,102.4,97.9,92.1,109,104.1
2500,103.3,97.4,105,99.6,95.2,89.3,106,100.6
3150,101.1,95.2,102.5,96.8,92.3,86.5,102.9,97.2
4000,98.7,93.1,99.8,93.7,89.4,83.7,99.8,93.7
5000,96.3,90.6,97,90.3,86.3,80.7,96.6,89.9
6300,93.7,88,94.1,86.8,83.1,77.5,93.3,85.9
8000,91,85,91.2,82.9,79.8,73.9,89.9,81.7
10000,88.1,81.6,88.1,79.3,76.3,69.9,86.4,77.6
12500,85,77.3,85,75.1,72.7,64.9,82.7,72.8
16000,81.8,72.5,81.6,70.6,68.8,59.5,78.7,67.7
20000,78.3,67.3,77.9,65.5,64.8,53.8,74.4,62.1
25000,74.7,62.1,74.1,59.9,60.5,47.9,70,55.8
