F-5A&B,J85-GE-13,Afterburner (101% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,127.6,127.6,132.5,132.6,124.6,124.6,139.1,139.2
250,126,126,130.8,130.9,122.4,122.4,136.8,136.9
315,124.3,123.3,129,128,120.1,119.2,134.5,133.5
400,122.6,120.7,127.2,125.2,117.8,115.9,132,130.1
500,120.8,118.3,125.2,122.8,115.5,112.9,129.5,127
630,119,115.7,123.2,120.1,113,109.8,126.8,123.8
800,117.1,113.2,121,117.4,110.5,106.6,124,120.4
1000,115.1,110.6,118.6,114.4,107.9,103.4,121,116.9
1250,113,107.9,116,111.1,105.2,100.1,117.8,113
1600,110.9,105.5,113.3,108.2,102.5,97.1,114.5,109.4
2000,108.8,103.2,110.5,105.2,99.8,94.2,111.1,105.8
2500,106.5,100.9,107.8,102.2,97,91.3,107.9,102.2
3150,104.2,98.7,105.3,99.3,94,88.5,104.7,98.7
4000,101.8,96.4,102.5,96.2,91,85.6,101.3,95
5000,99.2,93.9,99.6,92.8,87.8,82.5,97.9,91.1
6300,96.4,91.2,96.6,89.1,84.5,79.2,94.4,86.9
8000,93.5,88.1,93.5,85.9,80.9,75.5,90.7,83.1
10000,90.4,84.6,90.2,82.4,77.2,71.4,86.9,79
12500,87,80.1,86.9,78.1,73.3,66.3,82.9,74.1
16000,83.5,75.1,83.2,73.1,69.1,60.7,78.7,68.5
20000,79.7,69.6,79.3,67.4,64.7,54.6,74.1,62.3
25000,75.7,63.8,75.3,61.5,60.1,48.3,69.5,55.7
