F-5A&B,J85-GE-13,Takeoff (101% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,124.6,124.6,127,127.6,118.2,118.2,130.8,131.4
250,123,123,125.3,126,115.9,115.9,128.5,129.2
315,121.3,121.2,123.6,123.9,113.7,113.5,126.2,126.5
400,119.6,119.2,121.7,121.7,111.3,110.9,123.8,123.8
500,117.8,116.8,119.8,119.3,108.9,107.9,121.3,120.7
630,115.9,114.3,117.8,116.6,106.4,104.8,118.7,117.4
800,113.9,111.6,115.7,113.8,103.8,101.6,115.9,114
1000,111.8,109,113.3,110.7,101.2,98.3,113,110.4
1250,109.7,106.3,110.8,107.6,98.4,95,109.9,106.6
1600,107.4,104,108.1,104.8,95.5,92.1,106.6,103.2
2000,104.9,101.6,105.2,101.8,92.4,89.1,103,99.6
2500,102.3,99.2,102.2,98.9,89.2,86.1,99.5,96.2
3150,99.5,96.8,99.1,96.1,85.8,83.1,95.8,92.7
4000,96.4,94.5,95.6,93.1,82.2,80.2,91.8,89.2
5000,93.1,91.9,91.7,89.7,78.3,77,87.4,85.4
6300,89.6,89,87.5,86.2,74.1,73.5,82.8,81.4
8000,85.8,85.5,82.9,82.1,69.7,69.4,77.7,76.9
10000,81.7,81.3,78.4,77.3,65,64.6,72.8,71.6
12500,77.4,75.7,74.5,71,60.2,58.4,68.2,64.7
16000,73,69.4,70.3,64,55.2,51.5,63.4,57.1
20000,68.6,62.6,65.5,56.6,50.1,44.1,58.1,49.2
25000,64,55.6,60.5,48.4,44.9,36.5,52.4,40.3
