F-5A&B,J85-GE-13,Cruise (86% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,103.4,103.4,106.5,106.5,99.8,99.8,112.6,112.6
250,101.8,101.8,104.9,104.9,97.6,97.6,110.4,110.4
315,100.2,99.8,103.3,102.7,95.5,95,108.2,107.6
400,98.6,97.9,101.5,100.6,93.2,92.5,105.8,104.9
500,96.9,95.5,99.7,98.1,91,89.5,103.4,101.8
630,95.2,93,97.8,95.4,88.6,86.4,100.9,98.5
800,93.4,90.4,95.7,92.6,86.2,83.2,98.2,95.1
1000,91.5,87.9,93.6,89.7,83.7,80.1,95.5,91.6
1250,89.5,85.4,91.3,86.7,81.1,77,92.6,88
1600,87.3,83.2,88.8,84.2,78.3,74.2,89.5,84.9
2000,85.1,80.9,86.3,81.5,75.5,71.4,86.4,81.6
2500,82.6,78.7,83.6,78.9,72.4,68.5,83.1,78.4
3150,80,76.4,80.6,76.2,69.2,65.6,79.5,75.1
4000,77.1,74,77.1,73.2,65.8,62.6,75.5,71.6
5000,74.1,71.3,73.3,69.9,62.1,59.3,71.2,67.8
6300,70.9,68.3,69.3,66.3,58.3,55.7,66.7,63.7
8000,67.4,64.8,65.8,62.1,54.3,51.6,62.6,58.9
10000,63.8,60.6,62,56.9,50.1,46.8,58.3,53.2
12500,60.1,55.4,58,49.2,45.7,41,53.7,44.9
16000,56.1,49.6,53.6,42,41.1,34.7,48.7,37.1
20000,52,43.7,48.3,32.5,36.4,28.1,42.8,27.1
25000,47.6,37.9,42.4,20.2,31.5,21.7,36.3,14.1
