F-5E,J85-GE-21,Afterburner (101% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,128.6,128.6,133.6,133.7,125.5,125.5,140,140.1
250,127,127,131.9,132,123.3,123.3,137.7,137.8
315,125.3,124.3,130.1,129.1,121,120.1,135.4,134.4
400,123.6,121.7,128.3,126.3,118.7,116.8,132.9,131
500,121.8,119.3,126.3,123.9,116.4,113.8,130.4,127.9
630,120,116.7,124.3,121.2,113.9,110.7,127.7,124.7
800,118.1,114.2,122.1,118.5,111.4,107.5,124.9,121.3
1000,116.1,111.6,119.7,115.5,108.8,104.3,121.9,117.8
1250,114,108.9,117.1,112.3,106.1,101,118.7,113.9
1600,111.9,106.5,114.4,109.3,103.4,98,115.4,110.3
2000,109.8,104.2,111.6,106.3,100.7,95.1,112,106.7
2500,107.5,101.9,109,103.3,97.9,92.2,108.8,103.1
3150,105.2,99.7,106.4,100.4,94.9,89.4,105.6,99.6
4000,102.8,97.4,103.6,97.3,91.9,86.5,102.3,95.9
5000,100.2,94.9,100.7,93.9,88.7,83.4,98.8,92
6300,97.4,92.2,97.7,90.2,85.4,80.1,95.3,87.8
8000,94.5,89.1,94.5,86.9,81.8,76.4,91.6,84
10000,91.4,85.6,91.3,83.4,78.1,72.3,87.8,79.9
12500,88,81.1,87.9,79.1,74.2,67.2,83.9,75
16000,84.5,76.1,84.3,74.1,70,61.6,79.6,69.5
20000,80.7,70.6,80.3,68.5,65.6,55.5,75.1,63.3
25000,76.7,64.8,76.4,62.6,61,49.2,70.5,56.7
