F-5E,J85-GE-21,Approach (82% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,104.2,104.2,107.6,107.6,101.5,101.5,114.2,114.2
250,102.7,102.7,106,106,99.4,99.4,112,112
315,101.1,100.4,104.3,103.7,97.2,96.5,109.7,109.1
400,99.5,98.1,102.6,101.4,95,93.6,107.4,106.2
500,97.8,95.7,100.8,98.9,92.7,90.6,105,103.1
630,96.1,93.3,98.9,96.3,90.4,87.6,102.5,99.9
800,94.3,90.8,97,93.5,88,84.5,100,96.5
1000,92.5,88.4,94.9,90.7,85.6,81.5,97.3,93.1
1250,90.5,85.9,92.6,87.8,83,78.5,94.4,89.6
1600,88.5,83.8,90.3,85.3,80.4,75.7,91.4,86.5
2000,86.3,81.6,87.7,82.7,77.7,72.9,88.3,83.3
2500,84.1,79.4,85.1,80,74.8,70.1,85.1,80
3150,81.6,77.2,82.3,77.4,71.8,67.3,81.7,76.8
4000,79.1,75,79.1,74.6,68.6,64.5,78,73.5
5000,76.3,72.5,76.2,71.4,65.3,61.4,74.6,69.8
6300,73.4,69.7,73.1,67.9,61.8,58,71.1,65.9
8000,70.4,66.5,69.8,64.1,58.1,54.2,67.4,61.7
10000,67.2,62.7,66.3,59.6,54.3,49.8,63.4,56.6
12500,63.8,58,62.6,54.4,50.3,44.5,59.1,50.9
16000,60.3,52.8,58.6,48.1,46.2,38.7,54.5,44
20000,56.6,47.5,54.2,40.1,41.9,32.8,49.5,35.4
25000,52.7,42.5,49.1,30.2,37.4,27.2,43.8,24.9
