F-8,J57-P-20,Afterburner (95% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,128.8,128.8,133,133,125.9,125.9,139.9,139.8
250,127.3,127.3,131.4,131.4,123.7,123.7,137.6,137.6
315,125.7,124.2,129.7,128.7,121.5,120.1,135.3,134.3
400,124,121.4,127.9,126,119.3,116.6,133,131
500,122.3,118.8,126,123.5,117,113.5,130.4,127.9
630,120.6,116.3,124,120.7,114.7,110.4,127.8,124.5
800,118.8,113.8,122,117.8,112.3,107.3,125.2,121.1
1000,117,111.3,120,114.9,109.9,104.2,122.6,117.5
1250,115.2,108.8,118,111.7,107.4,101.1,120,113.8
1600,113.2,106.6,115.8,108.9,104.9,98.3,117.2,110.3
2000,111.2,104.4,113.6,106.2,102.3,95.4,114.4,107
2500,109.1,102.1,111.3,103.4,99.6,92.6,111.5,103.6
3150,107,99.9,109,100.5,96.9,89.8,108.6,100.1
4000,104.7,97.7,106.4,97.5,94,87,105.4,96.6
5000,102.3,95.2,103.7,94.3,90.9,83.9,102.1,92.7
6300,99.7,92.6,100.8,91.1,87.8,80.6,98.7,88.9
8000,97,89.5,97.9,88,84.5,77,95.1,85.2
10000,94.1,86.2,94.7,84.7,80.9,73,91.4,81.4
12500,90.9,82,91.5,80.8,77.2,68.2,87.6,76.9
16000,87.6,77.2,88,76.3,73.3,62.9,83.5,71.8
20000,84,72.2,84.1,71.2,69,57.3,78.9,66.1
25000,80,66.9,80.1,65.6,64.5,51.4,74.3,59.8
