MU-3001,JT15D-5,Cruise (1500 lbs.),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
(ft),A-G,G-G,A-G,G-G,A-G,G-G,A-G,G-G
200,104.3,104.3,106.8,106.8,99.2,99.2,110.5,110.5
250,102.8,102.8,105.2,105.2,97.1,97.1,108.4,108.4
315,101.3,99,103.7,101.4,95,92.7,106.2,104
400,99.8,95.4,102.1,98.3,92.9,88.5,104,100.3
500,98.3,92.8,100.4,95.8,90.8,85.4,101.8,97.1
630,96.7,90.5,98.7,93.1,88.6,82.4,99.5,93.8
800,95.1,88.3,97,90.3,86.4,79.7,97.2,90.5
1000,93.4,86.3,95.2,87.8,84.1,77,94.8,87.3
1250,91.7,84.2,93.3,85.3,81.8,74.4,92.3,84.3
1600,89.9,82.3,91.4,82.9,79.4,71.8,89.8,81.2
2000,88,80.3,89.4,80.4,77,69.3,87.1,78.2
2500,86,78.4,87.2,78.1,74.4,66.7,84.4,75.3
3150,84,76.4,85,75.8,71.7,64.1,81.5,72.4
4000,81.7,74.3,82.4,73.2,68.9,61.5,78.4,69.2
5000,79.4,72,79.8,70.3,65.9,58.5,75.2,65.7
6300,76.8,69.5,77,67.3,62.8,55.5,71.8,62.1
8000,74.1,66.7,73.9,64.3,59.5,52,68.2,58.5
10000,71.2,63.5,70.7,60.9,55.9,48.2,64.3,54.6
12500,68,59.5,67.3,56.5,52.1,43.6,60.3,49.5
16000,64.6,54.8,63.6,50.7,48.1,38.3,56,43.2
20000,60.9,49.7,59.3,44.1,43.8,32.7,51.2,35.9
25000,56.8,44.3,54.1,35.1,39.2,26.6,45.4,26.4
