P-3A,T56-A-14,Cruise (2000 ESHP),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,104.4,104.4,110.2,110.8,102.4,102.4,118.7,119.3
250,102.8,102.8,108.5,109.1,100.2,100.2,116.5,117
315,101.2,100.3,106.8,106.5,98,97.1,114.1,113.9
400,99.5,98.1,105,103.8,95.7,94.3,111.7,110.6
500,97.7,95.6,103.1,101.3,93.3,91.2,109.2,107.4
630,96,93,101.1,98.6,91,88,106.6,104.1
800,94.1,90.3,98.9,95.7,88.5,84.7,103.9,100.7
1000,92.2,87.6,97,92.8,86,81.4,101.4,97.1
1250,90.2,84.8,95,89.6,83.5,78,98.8,93.4
1600,88.2,82.3,92.9,86.8,80.8,74.9,96.1,89.9
2000,86.2,79.8,90.8,83.8,78.2,71.8,93.3,86.4
2500,84,77.4,88.6,81,75.4,68.8,90.5,82.9
3150,81.9,75,86.3,78.1,72.7,65.8,87.6,79.4
4000,79.7,72.6,83.5,74.7,69.9,62.8,84.3,75.4
5000,77.5,69.9,80.7,70.9,67.1,59.5,80.9,71.1
6300,75.2,67.1,77.7,66.8,64.2,56.1,77.4,66.5
8000,72.8,64,74.7,62.3,61.2,52.4,73.7,61.4
10000,70.4,60.6,71.5,58.3,58.2,48.4,70,56.8
12500,67.8,56.5,68.5,53.5,55,43.7,66.3,51.3
16000,65.2,52.3,65.3,48.5,51.8,38.9,62.6,45.8
20000,62.3,48.3,61.9,42.9,48.3,34.3,58.6,39.5
25000,59.2,44.6,58.1,36.2,44.6,30,54.2,32.3
