P-3C,T56-A-14,Cruise (1200 ESHP),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,98.2,98.2,102.6,103.3,96.9,96.9,108.5,109.2
250,96.7,96.7,101,101.7,94.8,94.8,106.3,107
315,95.1,94.7,99.3,99.3,92.6,92.2,104.1,104.1
400,93.5,92.5,97.6,97,90.3,89.4,101.7,101.2
500,91.8,90.1,95.8,94.5,88,86.4,99.3,98
630,90,87.7,93.8,91.8,85.7,83.3,96.8,94.8
800,88.2,85.2,91.8,89,83.2,80.2,94.2,91.4
1000,86.2,82.7,89.7,86.2,80.7,77.2,91.5,87.9
1250,84.2,80.3,87.5,83.6,78,74.2,88.6,84.8
1600,82,78.1,85.1,81.1,75.2,71.4,85.6,81.6
2000,79.6,75.8,82.5,78.5,72.3,68.5,82.4,78.4
2500,77.1,73.4,79.6,75.7,69.1,65.5,79,75.1
3150,74.3,71,76.5,72.9,65.8,62.5,75.3,71.6
4000,71.3,68.5,72.9,69.4,62.2,59.4,71.3,67.9
5000,68,65.6,68.9,65.6,58.3,55.9,67,63.7
6300,64.5,62.4,64.8,61.5,54.2,52,62.6,59.2
8000,60.8,58.5,60.9,56.5,49.9,47.6,58.3,53.9
10000,57,54,56.6,50.8,45.5,42.4,53.7,47.9
12500,53.2,48.5,52.2,42.9,41.1,36.3,48.7,39.4
16000,49.5,42.9,47.2,33.9,36.8,30.2,43,29.8
20000,45.9,38.4,41.4,23.4,32.6,25,36.7,18.7
25000,42.3,35,34.9,15.7,28.4,21.1,29.5,10.4
