P-3C,T56-A-14,Takeoff (3500 ESHP),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,103.4,103.4,108.9,109.4,100.6,100.6,117.1,117.7
250,101.9,101.9,107.4,107.9,98.5,98.5,115,115.5
315,100.4,99.1,105.8,105.1,96.4,95.1,112.8,112.1
400,98.8,96.3,104.2,102,94.2,91.7,110.6,108.4
500,97.2,93.8,102.6,99.4,92.1,88.7,108.4,105.3
630,95.6,91.3,100.9,96.7,89.8,85.5,106.1,102
800,94,88.8,99.2,93.9,87.6,82.4,103.8,98.5
1000,92.3,86.3,97.4,91.1,85.3,79.3,101.4,95.1
1250,90.6,83.8,95.6,88.4,83,76.2,99,91.9
1600,88.8,81.6,93.6,86.1,80.6,73.4,96.5,89
2000,87,79.4,91.7,83.8,78.2,70.6,93.9,86
2500,85.1,77.2,89.7,81.3,75.7,67.9,91.3,82.9
3150,83.2,75.1,87.6,78.6,73.2,65.1,88.6,79.6
4000,81.2,72.9,85,75.1,70.6,62.3,85.5,75.6
5000,79.2,70.5,82.5,71.2,68,59.3,82.3,71.1
6300,77.1,67.9,79.7,67.2,65.3,56.1,79,66.5
8000,74.9,65.2,76.8,64,62.5,52.8,75.6,62.7
10000,72.6,62.1,73.8,60.4,59.6,49.1,71.9,58.6
12500,70.3,58.5,71,56.7,56.7,44.9,68.5,54.3
16000,67.8,54.8,68,52.8,53.6,40.6,64.9,49.7
20000,65.1,51.3,64.8,48,50.3,36.5,61.1,44.3
25000,62.2,48.1,61.2,42.4,46.8,32.7,56.9,38.2
