S-3A&B,TF34-GE-400A/B,Approach (69% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,95,95,102,102.2,94.4,94.4,109.6,109.9
250,93.3,93.3,100.3,100.5,92.1,92.1,107.4,107.6
315,91.6,91.8,98.6,98.7,89.8,90,105,105.2
400,89.8,90.6,96.8,97.1,87.4,88.2,102.6,102.9
500,87.9,88.2,94.9,94.6,84.9,85.2,100.1,99.9
630,85.9,85.6,92.9,92,82.4,82,97.5,96.6
800,83.8,82.7,90.7,89.1,79.7,78.6,94.8,93.1
1000,81.6,79.7,88.4,86,76.9,74.9,91.9,89.4
1250,79.2,76.4,86,82.7,73.9,71.1,88.8,85.6
1600,76.7,73.9,83.3,80,70.7,68,85.5,82.2
2000,73.9,71.3,80.4,77.2,67.3,64.8,82,78.8
2500,70.8,68.7,77.2,74.2,63.6,61.5,78.2,75.3
3150,67.3,66.1,73.6,71.3,59.6,58.3,74.1,71.8
4000,63.4,63.6,68.8,67.5,55.1,55.2,68.9,67.7
5000,59,60.6,63.5,63.5,50.1,51.7,63.3,63.3
6300,54.2,57.1,57.5,58.8,44.6,47.6,56.9,58.3
8000,48.9,52.7,50.7,53.3,38.7,42.5,49.8,52.3
10000,43.7,47.2,42.1,46.3,32.9,36.4,40.8,45
12500,39.1,39.5,31,34.6,27.7,28.1,29.1,32.8
16000,35.1,30.8,19.7,16.2,23.2,18.8,17.2,13.7
20000,31.5,23.1,8.4,-2.2,19,10.5,5.3,-5.3
25000,27.9,16.9,-2.9,-20.7,14.8,3.7,-6.5,-24.4
