S-3A&B,TF34-GE-400A/B,Takeoff (97.2% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,116.7,116.7,123.2,123.2,114.7,114.7,132.5,132.5
250,115.1,115.1,121.6,121.5,112.4,112.4,130.2,130.2
315,113.3,113.3,119.8,119.5,110.1,110.1,127.8,127.5
400,111.4,111,117.9,116.9,107.6,107.2,125.4,124.3
500,109.4,108.6,115.9,114.4,105,104.2,122.7,121.2
630,107.3,105.8,113.7,111.6,102.3,100.8,120,117.8
800,105,103.4,111.4,109.1,99.4,97.8,117,114.8
1000,102.4,100.3,108.8,106.1,96.2,94.1,113.9,111.1
1250,99.7,97,106,102.8,92.9,90.2,110.4,107.2
1600,96.6,93.9,102.8,99.5,89.2,86.5,106.7,103.4
2000,93.2,90.6,99.3,96,85.2,82.6,102.6,99.2
2500,89.5,87,95.4,92.1,80.9,78.4,98,94.7
3150,85.4,83.2,91,87.8,76.2,74,93,89.8
4000,81.1,79.6,85.5,82.6,71.3,69.8,86.8,83.9
5000,76.8,75.5,79.4,76.7,66.4,65.1,80.1,77.4
6300,72.7,71.6,73.1,71.2,61.7,60.6,73.1,71.2
8000,68.7,67.5,67.3,65.5,57.1,55.9,66.6,64.8
10000,64.8,63,62.7,59.6,52.6,50.8,61.3,58.2
12500,60.9,57.5,58.3,52.5,48.1,44.7,56.3,50.5
16000,56.9,51.4,53.5,44.4,43.5,38,50.9,41.8
20000,52.9,45.1,48.1,36.1,38.8,31.1,44.9,32.9
25000,48.7,38.9,42.6,21.8,34.1,24.3,38.8,18
