T-29,R-2800-103W,Approach (2400 RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,96.2,96.2,101.4,101.6,91.5,91.5,106.1,106.3
250,94.7,94.7,99.9,100.1,89.4,89.4,103.9,104.2
315,93.2,91.5,98.3,97.2,87.3,85.6,101.8,100.7
400,91.7,88.6,96.7,94.3,85.2,82,99.6,97.1
500,90.2,86.1,95,91.8,83,79,97.3,94.1
630,88.6,83.6,93.3,89.3,80.9,75.9,95,91
800,87,81.2,91.6,86.9,78.7,72.9,92.7,88
1000,85.4,78.9,89.9,84.4,76.4,70,90.3,84.9
1250,83.7,76.6,88,81.8,74.1,67.1,87.9,81.7
1600,81.9,74.4,86,78.9,71.8,64.3,85.3,78.2
2000,80.1,72.3,84,76.2,69.4,61.6,82.7,74.9
2500,78.3,70.2,81.8,73.2,67,58.9,79.9,71.3
3150,76.4,68.1,79.6,70.5,64.5,56.2,77.1,68
4000,74.4,66,77,67.5,61.9,53.5,73.9,64.5
5000,72.4,63.7,74.2,64.2,59.2,50.6,70.6,60.6
6300,70.2,61.3,71.3,60.7,56.5,47.6,67.2,56.6
8000,68,58.7,68.3,56.7,53.7,44.4,63.6,52.1
10000,65.7,55.8,65,52.9,50.7,40.9,59.8,47.7
12500,63.2,52.3,61.9,48.2,47.7,36.8,56.1,42.5
16000,60.6,48.7,58.6,42.3,44.5,32.5,52.2,35.9
20000,57.8,45.2,54.9,34.2,41.1,28.5,47.9,27.2
25000,54.9,42,50.6,26.2,37.5,24.7,43,18.6
