T-2C,J85-GE-4A,Cruise (75% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,106.5,106.5,111,111,108.6,108.6,123,122.9
250,104.9,104.9,109.4,109.3,106.4,106.4,120.7,120.7
315,103.2,102.8,107.6,106.7,104.1,103.6,118.4,117.5
400,101.4,100.5,105.7,104.1,101.7,100.8,115.9,114.3
500,99.6,98.1,103.7,101.6,99.2,97.7,113.2,111.1
630,97.6,95.5,101.6,98.9,96.7,94.6,110.6,107.8
800,95.6,92.9,99.3,96,94.1,91.4,107.7,104.4
1000,93.5,90.2,96.9,93,91.4,88.1,104.7,100.8
1250,91.4,87.5,94.4,89.8,88.6,84.8,101.5,97
1600,89.1,85.1,91.7,87,85.8,81.8,98.3,93.5
2000,86.8,82.7,89,84.1,82.8,78.8,94.9,90.1
2500,84.3,80.3,86.1,81.3,79.7,75.8,91.5,86.7
3150,81.7,78,83,78.4,76.6,72.8,87.8,83.2
4000,79,75.7,79.5,75.4,73.2,70,83.8,79.7
5000,76.1,73.1,75.7,72.2,69.7,66.8,79.4,75.8
6300,73,70.3,72.1,68.7,66.1,63.4,75.2,71.8
8000,69.8,67,68.6,64.7,62.3,59.5,71.1,67.3
10000,66.5,63.1,65,60.2,58.4,55,66.9,62.1
12500,63,58.2,61.5,54.1,54.3,49.4,62.8,55.4
16000,59.4,52.6,57.6,47.6,50,43.3,58.4,48.4
20000,55.5,46.8,53.4,40.4,45.6,36.9,53.6,40.6
25000,51.5,40.7,48.9,32.4,41,30.2,48.4,31.9
