T-38A,J85-GE-5A,Afterburner (100% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,126.9,126.9,131.3,131.3,124.7,124.7,139.5,139.5
250,125.3,125.3,129.6,129.6,122.5,122.5,137.2,137.2
315,123.6,122.7,127.8,126.7,120.2,119.4,134.8,133.7
400,121.9,120.2,125.9,124.2,117.9,116.2,132.3,130.6
500,120,117.7,123.9,121.6,115.5,113.1,129.7,127.4
630,118.2,115.1,121.7,118.9,113,109.9,126.9,124.1
800,116.2,112.5,119.5,116.1,110.4,106.7,124.1,120.7
1000,114.1,109.7,117.1,113,107.8,103.4,121.1,117
1250,112,107,114.5,109.7,105.1,100,117.9,113.1
1600,109.9,104.6,111.8,106.6,102.3,97.1,114.5,109.4
2000,107.7,102.2,108.8,103.5,99.5,94.1,111,105.7
2500,105.4,99.9,106.1,100.5,96.6,91.1,107.7,102.1
3150,103,97.6,103.5,97.5,93.6,88.2,104.5,98.5
4000,100.4,95.3,100.6,94.3,90.5,85.3,101,94.7
5000,97.7,92.6,97.7,90.9,87.2,82.1,97.5,90.6
6300,94.9,89.8,94.6,87,83.7,78.6,93.8,86.2
8000,91.8,86.6,91.4,83.6,80.1,74.8,89.9,82.1
10000,88.6,82.9,88,79.9,76.2,70.6,85.9,77.8
12500,85.1,78.4,84.5,75.4,72.1,65.4,81.9,72.8
16000,81.3,73.2,80.8,70.2,67.8,59.6,77.5,67
20000,77.4,67.5,76.7,64.5,63.2,53.3,72.8,60.6
25000,73.1,61.5,72.1,58.2,58.4,46.7,67.6,53.8
