T-39A,J60-P-3A,Takeoff (100% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,116,116,120.2,120.3,113.2,113.2,127.1,127.3
250,114.4,114.4,118.5,118.7,111,111,124.9,125
315,112.8,112.1,116.8,116.1,108.8,108,122.5,121.9
400,111.1,109.8,115,113.6,106.5,105.1,120.1,118.8
500,109.4,107.3,113,111.1,104.2,102.1,117.6,115.6
630,107.6,104.8,110.9,108.3,101.8,98.9,114.9,112.3
800,105.7,102.2,108.8,105.5,99.3,95.8,112.1,108.8
1000,103.8,99.6,106.5,102.5,96.8,92.6,109.3,105.2
1250,101.8,97,104.1,99.3,94.2,89.4,106.3,101.5
1600,99.7,94.8,101.6,96.6,91.5,86.5,103.2,98.1
2000,97.5,92.4,99,93.8,88.7,83.6,99.9,94.8
2500,95.2,90.1,96.1,91,85.7,80.7,96.5,91.3
3150,92.7,87.8,93.4,88.1,82.7,77.8,93.1,87.9
4000,90.2,85.5,90.5,85.1,79.5,74.9,89.7,84.3
5000,87.5,82.9,87.5,81.8,76.2,71.7,86.1,80.4
6300,84.6,80.1,84.4,78.1,72.8,68.3,82.4,76.1
8000,81.5,76.8,81.1,74.1,69.1,64.4,78.5,71.5
10000,78.3,73.1,77.6,69.9,65.3,60.1,74.5,66.8
12500,74.9,68.4,74,65.4,61.2,54.8,70.2,61.6
16000,71.2,63.2,70,59.8,57,49,65.6,55.5
20000,67.3,57.6,65.6,53.5,52.5,42.8,60.6,48.6
25000,63.1,51.7,61.1,46.7,47.7,36.3,55.5,41.1
