T-39A,J60-P-3A,Approach (79.5% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,102.3,102.3,105.5,106.3,101.4,101.4,114.1,114.8
250,100.7,100.7,103.9,104.6,99.3,99.3,111.9,112.6
315,99.1,98.4,102.3,102.3,97.1,96.4,109.6,109.7
400,97.5,96.3,100.5,100.1,94.9,93.7,107.3,106.9
500,95.8,93.9,98.8,97.6,92.6,90.7,104.9,103.8
630,94.1,91.4,96.9,95,90.2,87.6,102.4,100.5
800,92.2,88.9,94.9,92.2,87.8,84.5,99.9,97.2
1000,90.4,86.4,92.8,89.4,85.3,81.4,97.1,93.7
1250,88.4,83.9,90.5,86.4,82.8,78.3,94.3,90.1
1600,86.3,81.7,88.1,83.8,80.1,75.5,91.3,87
2000,84.2,79.4,85.5,81.2,77.3,72.6,88.1,83.7
2500,81.9,77.2,82.7,78.4,74.4,69.8,84.7,80.4
3150,79.4,75,79.8,75.7,71.4,67,81.1,77.1
4000,76.9,72.8,76.7,72.7,68.2,64.2,77.6,73.6
5000,74.1,70.3,73.7,69.4,64.9,61.1,74.2,69.8
6300,71.3,67.5,70.6,65.7,61.5,57.7,70.6,65.7
8000,68.2,64.3,67.3,61.7,57.8,53.9,66.9,61.3
10000,65.1,60.6,63.8,57,54,49.6,62.9,56
12500,61.7,55.9,60.1,51.6,50.1,44.3,58.6,50
16000,58.1,50.7,56.1,45.4,45.9,38.5,53.9,43.2
20000,54.3,45.2,51.4,37.2,41.5,32.4,48.7,34.5
25000,50.3,39.5,45.9,28.3,36.9,26.1,42.6,24.9
