T-39A,J60-P-3A,Cruise (89% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,106.8,106.8,110.7,110.7,104,104,117.1,117.2
250,105.3,105.3,109,109.1,101.8,101.8,114.8,114.9
315,103.6,103.2,107.3,106.8,99.6,99.2,112.5,112
400,102,101.2,105.5,104.4,97.3,96.5,110.1,109.1
500,100.2,98.8,103.6,102,95,93.6,107.6,106
630,98.5,96.3,101.6,99.3,92.6,90.5,105,102.7
800,96.6,93.8,99.5,96.5,90.1,87.3,102.4,99.4
1000,94.6,91.2,97.4,93.6,87.6,84.1,99.7,95.9
1250,92.6,88.7,95.2,90.7,84.9,81,96.8,92.3
1600,90.4,86.4,92.8,88.2,82.2,78.2,93.9,89.2
2000,88.1,84.1,90.3,85.6,79.3,75.3,90.7,86.1
2500,85.7,81.9,87.5,83,76.2,72.4,87.4,82.8
3150,83.1,79.6,84.6,80.3,73.1,69.5,83.8,79.6
4000,80.4,77.4,81.1,77.4,69.7,66.7,79.9,76.1
5000,77.4,74.8,77.4,74.2,66.2,63.6,75.6,72.4
6300,74.3,72.1,73.4,70.8,62.4,60.2,71.1,68.5
8000,71,68.8,69.9,66.9,58.5,56.3,67.1,64.1
10000,67.5,64.9,66.3,62.2,54.4,51.8,63,58.9
12500,63.8,59.8,62.4,55.9,50.2,46.2,58.5,52
16000,60,54.3,58.1,49.2,45.7,40,53.7,44.8
20000,56,48.4,53.4,41.5,41.1,33.5,48.4,36.4
25000,51.7,42.3,47.7,31.4,36.2,26.9,42,25.8
