T-44,PT6A-34B,Landing (30% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,85.6,85.6,88.7,88.5,85,85,101,100.8
250,84.1,84.1,87.1,86.9,82.9,82.9,98.8,98.6
315,82.6,80.4,85.4,84,80.8,78.6,96.6,95.2
400,81.1,77.6,83.7,81,78.7,75.1,94.3,91.5
500,79.5,75.1,82,78.4,76.5,72.1,91.9,88.4
630,77.9,72.5,80.2,75.7,74.3,68.9,89.5,85
800,76.3,69.8,78.4,72.8,72.1,65.6,87.1,81.6
1000,74.6,67.5,76.5,70.3,69.8,62.7,84.6,78.4
1250,72.9,65.3,74.6,67.7,67.4,59.9,82.1,75.2
1600,71.1,63.2,72.6,65.2,65,57.2,79.5,72.1
2000,69.2,61,70.5,62.6,62.6,54.4,76.8,68.9
2500,67.2,58.7,68.3,59.9,60,51.5,74,65.6
3150,65.2,56.4,66,57,57.4,48.6,71.2,62.2
4000,63.1,54.1,62.8,53.4,54.7,45.7,67.3,57.9
5000,60.9,51.6,59.5,49.6,51.9,42.6,63.5,53.5
6300,58.6,48.9,56,45.2,49,39.3,59.3,48.5
8000,56.2,45.7,52.2,39.1,46,35.5,54.9,41.8
10000,53.7,42.3,48.2,32.6,42.9,31.5,50.3,34.7
12500,50.9,38.2,44.5,26.7,39.5,26.8,46.1,28.2
16000,47.8,34,40.3,18.8,35.8,22,41.2,19.7
20000,44.4,29.7,35.2,9.7,31.8,17.1,35.6,10
25000,40.5,25.1,29.8,0.5,27.3,11.9,29.5,0.2
