T-45,F405-RR-401,Takeoff (100% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,118.7,118.7,121.2,121.2,112.6,112.6,126.1,126.1
250,117.2,117.2,119.7,119.6,110.5,110.5,124,123.9
315,115.7,113.8,118.1,116.8,108.4,106.5,121.8,120.5
400,114.1,110.8,116.4,114,106.2,102.9,119.6,117.2
500,112.5,108.3,114.8,111.5,104,99.8,117.3,114
630,110.9,105.8,113.1,108.8,101.8,96.7,115,110.7
800,109.3,103.4,111.3,106,99.6,93.7,112.6,107.3
1000,107.5,101,109.4,103.1,97.2,90.7,110.1,103.8
1250,105.8,98.7,107.5,100.1,94.9,87.8,107.6,100.2
1600,103.9,96.6,105.5,97.4,92.4,85.1,105,96.9
2000,102.1,94.5,103.4,94.7,90,82.4,102.3,93.6
2500,100.1,92.4,101.3,92,87.4,79.7,99.6,90.3
3150,98,90.3,99,89.3,84.7,77,96.7,87
4000,95.8,88.2,96.4,86.4,81.9,74.3,93.5,83.5
5000,93.6,85.9,93.7,83.3,79.1,71.4,90.2,79.8
6300,91.1,83.5,90.8,80.4,76,68.4,86.7,76.4
8000,88.6,80.7,87.8,77.4,72.9,65,83.1,72.7
10000,85.8,77.5,84.6,74.1,69.5,61.2,79.3,68.8
12500,82.8,73.6,81.4,70.2,65.9,56.7,75.5,64.3
16000,79.6,69.1,77.9,65.5,62.1,51.6,71.4,59
20000,76.2,64.1,74,60.1,58.1,46,66.9,53
25000,72.5,58.9,69.7,54,53.8,40.2,62,46.4
