T-6,PT6A-68,Cruise (55% Torque),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,92.6,92.6,99.4,99.1,91.6,91.6,107.7,107.4
250,91.1,91.1,97.8,97.4,89.5,89.5,105.4,105.1
315,89.4,87.8,96,94.6,87.3,85.6,103.1,101.7
400,87.8,84.6,94.3,91.5,85,81.8,100.7,98
500,86.1,82.1,92.4,88.9,82.7,78.7,98.3,94.8
630,84.3,79.5,90.4,86.2,80.4,75.5,95.7,91.5
800,82.5,77,88.5,83.6,78,72.4,93.2,88.3
1000,80.7,74.3,86.5,80.5,75.5,69.2,90.6,84.6
1250,78.8,71.7,84.3,77.1,73,65.9,87.8,80.6
1600,76.9,69.2,82,73.8,70.5,62.8,84.9,76.7
2000,75,66.8,79.6,70.3,68,59.8,81.9,72.6
2500,73.1,64.6,77.2,66.6,65.5,57,78.9,68.3
3150,71.1,62.4,74.8,63.3,62.9,54.2,75.9,64.4
4000,69,60.2,71.9,60.2,60.2,51.4,72.4,60.7
5000,66.8,57.9,68.9,56.7,57.4,48.5,68.8,56.5
6300,64.5,55.4,65.8,53.3,54.5,45.4,65.1,52.6
8000,62.1,52.7,62.6,49.3,51.5,42.1,61.3,48
10000,59.5,49.6,59.3,45,48.3,38.4,57.4,43.2
12500,56.8,45.8,56.1,39.6,45,34,53.7,37.1
16000,53.9,41.5,52.7,33.5,41.5,29.1,49.6,30.5
20000,50.8,37,49,24.9,37.8,24,45.3,21.3
25000,47.5,32.4,44.1,16.3,33.9,18.8,39.8,12.1
