OV-10A,T76-G-416/417,Taxi (70% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,92.4,94.9,92.7,91.1,91.2,91.3,87.1,87.7,84.7,83.3,82.3,83.9,82.6,83.2,82.6,84.4,76.1,70.8,50.8
250,90.2,92.6,90.4,88.8,88.9,89,84.8,85.5,82.5,81.1,80.1,81.7,80.5,81.1,80.5,82.3,74,68.7,48.7
315,87.8,90.2,88,86.4,86.5,86.7,82.5,83.2,80.2,78.8,78,79.6,78.3,79,78.4,80.1,71.8,66.5,46.5
400,85.4,87.7,85.5,84,84.1,84.2,80,80.8,77.8,76.5,75.8,77.3,76.1,76.8,76.2,78,69.6,64.3,44.3
500,83,85.2,83,81.5,81.5,81.7,77.5,78.3,75.4,74.1,73.5,75.1,73.9,74.6,74.1,75.8,67.4,62.1,42.1
630,80.4,82.5,80.4,78.8,78.9,79,74.9,75.7,72.9,71.7,71.3,72.8,71.6,72.3,71.8,73.5,65.1,59.9,39.9
800,77.8,79.7,77.6,76.1,76.1,76.2,72.2,73.1,70.3,69.2,69,70.5,69.3,70,69.6,71.3,62.8,57.6,37.6
1000,75,76.7,74.8,73.2,73.2,73.3,69.3,70.3,67.6,66.6,66.6,68.1,67,67.7,67.3,68.9,60.4,55.3,35.3
1250,72.1,73.6,71.8,70.2,70.2,70.2,66.3,67.4,64.8,64,64.2,65.6,64.6,65.3,64.9,66.5,57.9,52.8,32.8
1600,69,70.4,68.7,67,67,66.9,63.3,64.4,61.9,61.3,61.7,63.1,62.1,62.9,62.5,64.1,55.4,50.4,30.4
2000,65.8,67,65.5,63.8,63.7,63.5,60.1,61.3,59,58.6,59.1,60.5,59.6,60.4,60,61.5,52.8,47.8,27.8
2500,62.5,63.6,62.2,60.5,60.3,60,56.9,58.2,56.1,55.8,56.5,57.9,57,57.8,57.5,58.8,50.1,45.2,25.2
3150,59.1,60,58.8,57.1,56.8,56.4,53.6,55,53.1,53,53.8,55.1,54.3,55.1,54.9,56.1,47.3,42.4,22.4
4000,55.6,56.5,55.4,53.7,53.2,52.8,50.4,51.7,50.1,50.1,51,52.3,51.5,52.4,52.2,53.2,44.4,39.6,19.6
5000,52,52.9,51.9,50.2,49.7,49.1,47.1,48.4,47,47.2,48,49.3,48.7,49.6,49.3,50.2,41.4,36.6,16.6
6300,48.4,49.3,48.4,46.7,46,45.4,43.8,45,43.9,44.1,44.9,46.3,45.7,46.7,46.4,47.1,38.4,33.5,13.5
8000,44.7,45.7,44.7,43.1,42.2,41.6,40.4,41.5,40.6,40.9,41.7,43,42.6,43.7,43.3,43.8,35.2,30.3,10.3
10000,40.9,41.9,40.9,39.4,38.3,37.7,36.8,37.9,37.3,37.7,38.3,39.7,39.4,40.5,40.1,40.3,31.8,26.9,6.9
12500,37,38,37,35.5,34.3,33.7,33,34,33.8,34.3,34.9,36.2,36,37.2,36.6,36.7,28.4,23.4,3.4
16000,33,33.9,32.9,31.6,30,29.5,28.9,29.9,30.1,30.9,31.3,32.7,32.6,33.7,32.9,32.9,24.8,19.8,-0.2
20000,28.7,29.5,28.6,27.4,25.5,25,24.6,25.4,26.4,27.4,27.7,29.2,29,30.1,28.9,29,21.1,16.1,-3.9
25000,24.2,24.9,24.1,23.2,20.7,20.4,20,20.8,22.6,24.1,24.3,25.7,25.3,26.3,24.6,24.8,17.1,12.3,-7.7
