P-3A,T56-A-14,Idle (170 ESHP),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,91.2,91.4,91,89.7,88.3,89.7,85.6,86.2,86.8,86.8,87.8,88.8,90.9,92.1,92.2,92.9,88.1,78.1,68.1
250,88.9,89,88.5,87.3,85.9,87,83,83.5,84.1,84.2,85.4,86.5,88.7,89.9,90,90.6,85.9,75.9,65.9
315,86.4,86.5,86.1,84.8,83.4,84.3,80.5,80.8,81.3,81.6,82.9,84.2,86.5,87.7,87.7,88.3,83.6,73.6,63.6
400,84,84,83.5,82.3,80.9,81.5,77.8,77.9,78.3,78.8,80.4,81.9,84.2,85.4,85.4,86,81.3,71.3,61.3
500,81.4,81.4,80.9,79.8,78.3,78.6,75.1,75.1,75.4,76.1,77.9,79.6,81.9,83.1,83,83.6,79,69,59
630,78.8,78.7,78.2,77.1,75.7,75.7,72.3,72.1,72.4,73.3,75.3,77.2,79.6,80.7,80.7,81.2,76.6,66.6,56.6
800,76.1,75.9,75.4,74.5,73,72.8,69.5,69.2,69.4,70.5,72.7,74.7,77.3,78.4,78.2,78.7,74.2,64.2,54.2
1000,73.5,73.2,72.6,71.8,70.2,69.9,66.7,66.3,66.5,67.7,70.1,72.3,74.9,75.9,75.7,76.1,71.8,61.8,51.8
1250,70.8,70.4,69.8,69.1,67.5,66.9,63.9,63.4,63.5,64.9,67.5,69.7,72.4,73.5,73.2,73.5,69.3,59.3,49.3
1600,68.1,67.6,67,66.5,64.7,63.9,61,60.5,60.6,62,64.8,67.1,69.9,70.9,70.6,70.8,66.8,56.8,46.8
2000,65.4,64.9,64.3,63.8,62,61,58.2,57.6,57.6,59.2,62.1,64.5,67.3,68.3,67.9,68,64.3,54.3,44.3
2500,62.7,62.2,61.6,61.2,59.2,58,55.3,54.7,54.7,56.3,59.4,61.7,64.7,65.6,65.2,65.2,61.7,51.7,41.7
3150,60,59.5,58.9,58.5,56.4,55.1,52.4,51.8,51.7,53.3,56.5,58.9,61.9,62.8,62.4,62.3,59.1,49.1,39.1
4000,57.3,56.7,56.2,55.7,53.6,52.1,49.4,48.8,48.7,50.3,53.6,55.9,59,59.9,59.4,59.2,56.4,46.4,36.4
5000,54.5,53.9,53.4,52.9,50.6,49,46.4,45.7,45.7,47.2,50.6,52.7,55.9,56.9,56.3,56.1,53.6,43.6,33.6
6300,51.6,51,50.5,49.9,47.5,45.9,43.2,42.5,42.5,44,47.4,49.4,52.7,53.6,53.1,52.8,50.7,40.7,30.7
8000,48.5,47.9,47.5,46.9,44.3,42.6,39.9,39.2,39.2,40.6,44,45.9,49.3,50.2,49.8,49.3,47.7,37.7,27.7
10000,45.3,44.7,44.3,43.7,41,39.1,36.4,35.8,35.7,37.1,40.4,42.3,45.7,46.6,46.2,45.6,44.5,34.5,24.5
12500,42,41.3,40.9,40.2,37.4,35.6,32.7,32.1,32,33.5,36.6,38.4,41.9,42.7,42.5,41.8,41.1,31.1,21.1
16000,38.5,37.6,37.4,36.6,33.7,31.8,28.9,28.4,28.2,29.8,32.5,34.2,37.9,38.5,38.6,37.9,37.4,27.4,17.4
20000,34.7,33.8,33.6,32.7,29.7,27.9,24.9,24.4,24.2,25.9,28.2,29.9,33.6,34.2,34.5,33.8,33.6,23.6,13.6
25000,30.6,29.7,29.5,28.6,25.6,23.7,20.7,20.3,20.1,21.9,23.8,25.5,29.2,29.6,30.3,29.5,29.4,19.4,9.4
