P-3A,T56-A-14,Takeoff (3800 ESHP),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,103.4,103.5,103,102.5,101.3,100.2,99.9,99.9,101,99.7,99.4,99.9,99.8,98.6,90.1,85.1,80.1,75.1,70.1
250,101.2,101.3,100.8,100.3,99.1,98,97.7,97.7,98.8,97.5,97.3,97.8,97.7,96.5,88,83,78,73,68
315,99,99.1,98.6,98.1,96.8,95.8,95.5,95.5,96.6,95.3,95.2,95.6,95.6,94.3,85.9,80.9,75.9,70.9,65.9
400,96.8,96.8,96.3,95.9,94.6,93.5,93.2,93.2,94.4,93.1,93,93.5,93.4,92.2,83.8,78.8,73.8,68.8,63.8
500,94.5,94.6,94,93.6,92.2,91.2,90.9,90.9,92.1,90.9,90.8,91.2,91.2,90,81.7,76.7,71.7,66.7,61.7
630,92.2,92.2,91.7,91.3,89.9,88.8,88.5,88.6,89.8,88.6,88.5,89,89,87.8,79.5,74.5,69.5,64.5,59.5
800,89.9,89.9,89.3,88.9,87.5,86.4,86.1,86.2,87.5,86.3,86.2,86.7,86.7,85.6,77.3,72.3,67.3,62.3,57.3
1000,87.5,87.5,86.9,86.5,85,83.9,83.7,83.7,85,83.9,83.9,84.4,84.4,83.3,75,70,65,60,55
1250,85.1,85,84.4,84,82.5,81.4,81.2,81.2,82.6,81.5,81.5,82,82.1,81,72.7,67.7,62.7,57.7,52.7
1600,82.6,82.5,81.8,81.5,79.9,78.8,78.6,78.7,80,79.1,79.1,79.6,79.6,78.6,70.3,65.3,60.3,55.3,50.3
2000,80.1,79.9,79.3,78.9,77.3,76.2,76,76,77.4,76.5,76.6,77.1,77.1,76.1,67.9,62.9,57.9,52.9,47.9
2500,77.5,77.3,76.6,76.2,74.6,73.4,73.2,73.3,74.8,73.9,74.1,74.5,74.6,73.6,65.4,60.4,55.4,50.4,45.4
3150,74.8,74.6,73.9,73.5,71.8,70.6,70.4,70.5,72,71.3,71.4,71.8,71.9,71,62.8,57.8,52.8,47.8,42.8
4000,72.1,71.8,71.1,70.8,68.9,67.7,67.5,67.6,69.2,68.5,68.8,69.1,69.1,68.3,60.1,55.1,50.1,45.1,40.1
5000,69.3,69,68.2,67.9,66,64.6,64.5,64.6,66.2,65.7,66,66.3,66.3,65.4,57.3,52.3,47.3,42.3,37.3
6300,66.4,66,65.2,64.9,62.9,61.5,61.4,61.6,63.2,62.8,63.2,63.3,63.3,62.5,54.3,49.3,44.3,39.3,34.3
8000,63.4,63,62.1,61.9,59.7,58.3,58.3,58.5,60.2,59.9,60.2,60.3,60.1,59.3,51.3,46.3,41.3,36.3,31.3
10000,60.2,59.7,58.9,58.6,56.5,54.9,55,55.3,57,56.8,57.3,57.1,56.8,56,48.1,43.1,38.1,33.1,28.1
12500,56.9,56.4,55.5,55.3,53,51.4,51.6,52.1,53.8,53.8,54.2,53.9,53.4,52.5,44.9,39.9,34.9,29.9,24.9
16000,53.4,52.8,51.9,51.7,49.4,47.7,48.2,49,50.6,50.6,51.1,50.6,49.9,48.9,41.6,36.6,31.6,26.6,21.6
20000,49.7,49,48.1,47.9,45.6,43.9,44.7,45.8,47.3,47.5,47.9,47.2,46.2,45,38.1,33.1,28.1,23.1,18.1
25000,45.8,45,44.1,43.9,41.6,39.9,41.2,42.6,44,44.2,44.7,43.7,42.5,41,34.6,29.6,24.6,19.6,14.6
