P-3C,T56-A-14,Power runup (1850 ESHP),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,93.1,93,93,91.7,92.1,95,92.2,91.3,93,92.7,90.8,91.1,90.8,90,87.8,81.7,75,68.3,61.7
250,90.8,90.7,90.7,89.5,89.9,92.9,90,89.1,90.9,90.6,88.7,89,88.6,87.8,85.7,79.6,72.9,66.2,59.6
315,88.5,88.4,88.4,87.2,87.6,90.7,87.8,86.8,88.7,88.4,86.5,86.8,86.5,85.7,83.5,77.4,70.7,64,57.4
400,86.2,86,86,84.9,85.2,88.5,85.5,84.5,86.4,86.3,84.3,84.7,84.3,83.5,81.3,75.2,68.5,61.8,55.2
500,83.9,83.6,83.5,82.5,82.8,86.3,83.1,82.2,84.2,84.1,82.1,82.5,82.1,81.3,79.1,73,66.3,59.6,53
630,81.4,81.1,81,80,80.4,84,80.7,79.8,81.9,81.8,79.9,80.2,79.8,79.1,76.8,70.7,64,57.3,50.7
800,79,78.6,78.5,77.6,77.9,81.7,78.3,77.3,79.5,79.5,77.6,78,77.5,76.8,74.5,68.4,61.7,55,48.4
1000,76.5,76.1,75.9,75.1,75.3,79.3,75.8,74.8,77.2,77.2,75.3,75.7,75.2,74.5,72.2,66,59.4,52.7,46
1250,73.9,73.5,73.2,72.5,72.7,76.9,73.2,72.2,74.7,74.9,72.9,73.3,72.9,72.1,69.8,63.6,56.9,50.2,43.6
1600,71.3,70.8,70.6,69.9,70,74.4,70.6,69.5,72.2,72.5,70.5,71,70.4,69.7,67.3,61.1,54.5,47.8,41.1
2000,68.6,68.1,67.8,67.2,67.2,71.9,67.9,66.8,69.7,70,68.1,68.5,68,67.2,64.8,58.6,51.9,45.2,38.6
2500,65.9,65.3,65,64.4,64.4,69.2,65.2,64.1,67.1,67.4,65.6,66.1,65.5,64.6,62.3,56,49.3,42.6,36
3150,63,62.4,62.1,61.6,61.5,66.5,62.4,61.2,64.5,64.8,63.1,63.6,62.9,62,59.6,53.2,46.5,39.8,33.2
4000,60.1,59.4,59.1,58.7,58.5,63.7,59.5,58.4,61.8,62.2,60.5,61,60.2,59.3,56.9,50.4,43.7,37,30.4
5000,57.1,56.3,56,55.6,55.4,60.8,56.5,55.4,59,59.4,57.9,58.4,57.5,56.6,54.1,47.5,40.8,34.1,27.5
6300,54,53.1,52.8,52.5,52.2,57.7,53.5,52.4,56.2,56.6,55.3,55.8,54.8,53.7,51.3,44.4,37.7,31,24.4
8000,50.8,49.7,49.5,49.2,48.9,54.5,50.3,49.4,53.3,53.7,52.6,53.1,51.9,50.8,48.3,41.2,34.5,27.8,21.2
10000,47.4,46.2,45.9,45.7,45.4,51.1,47.1,46.4,50.4,50.8,49.9,50.3,49,47.7,45.2,37.9,31.2,24.5,17.9
12500,43.9,42.5,42.3,42.1,41.8,47.4,43.7,43.3,47.4,47.8,47.1,47.6,46,44.5,42,34.5,27.8,21.1,14.5
16000,40.2,38.6,38.4,38.2,38.1,43.5,40.1,40.1,44.4,44.8,44.4,44.7,42.9,41.2,38.7,31.1,24.4,17.7,11.1
20000,36.3,34.6,34.4,34.2,34.1,39.4,36.5,36.9,41.4,41.7,41.6,41.9,39.8,37.8,35.2,27.5,20.8,14.1,7.5
25000,32.1,30.3,30.2,30,30.1,35,32.7,33.6,38.3,38.7,38.7,39,36.6,34.4,31.6,24.1,17.4,10.7,4.1
