T-29,R-2800-103W,Idle (800RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,71.2,70.7,70.8,69.9,68.9,68.8,68.5,67.6,66.7,68,67.5,68.9,70.3,71.2,72,68.3,65.6,66.4,67.8
250,69.2,68.6,68.8,67.8,66.8,66.8,66.4,65.5,64.6,65.9,65.5,66.8,68.2,69.1,69.9,66.2,63.6,64.4,65.7
315,67.1,66.5,66.7,65.7,64.7,64.7,64.4,63.4,62.5,63.8,63.4,64.7,66.1,67,67.8,64.1,61.5,62.3,63.6
400,65,64.4,64.6,63.6,62.6,62.6,62.3,61.3,60.4,61.7,61.3,62.6,63.9,64.9,65.6,62,59.4,60.2,61.5
500,62.9,62.3,62.4,61.5,60.5,60.4,60.1,59.2,58.2,59.6,59.2,60.5,61.8,62.7,63.5,59.9,57.3,58.1,59.3
630,60.7,60.2,60.3,59.3,58.3,58.3,58,57.1,56,57.4,57,58.3,59.6,60.6,61.3,57.7,55.1,56,57.2
800,58.5,58,58.1,57.2,56.1,56.1,55.8,54.9,53.8,55.2,54.9,56.1,57.4,58.4,59.1,55.6,52.9,53.8,55
1000,56.3,55.8,55.9,54.9,53.9,53.8,53.7,52.7,51.6,52.9,52.7,53.9,55.1,56.1,56.8,53.3,50.7,51.7,52.8
1250,54.1,53.6,53.7,52.7,51.6,51.6,51.4,50.5,49.3,50.6,50.5,51.6,52.8,53.9,54.5,51.1,48.5,49.5,50.5
1600,51.8,51.3,51.4,50.4,49.2,49.2,49.2,48.2,46.9,48.3,48.2,49.3,50.5,51.6,52.2,48.8,46.3,47.3,48.2
2000,49.5,49,49,48,46.8,46.9,46.9,46,44.6,45.9,46,46.9,48.1,49.2,49.8,46.5,44,45,45.9
2500,47.2,46.7,46.6,45.6,44.4,44.5,44.6,43.6,42.2,43.4,43.6,44.5,45.6,46.8,47.3,44.1,41.6,42.7,43.5
3150,44.7,44.3,44.2,43.2,41.9,42,42.3,41.3,39.7,40.9,41.3,42,43.1,44.3,44.8,41.7,39.2,40.4,41.1
4000,42.3,41.8,41.7,40.6,39.3,39.5,39.9,38.9,37.2,38.4,38.9,39.5,40.5,41.8,42.3,39.2,36.8,38,38.6
5000,39.7,39.2,39.1,38,36.7,36.9,37.5,36.5,34.7,35.8,36.5,36.9,37.9,39.2,39.6,36.7,34.3,35.6,36
6300,37.1,36.6,36.4,35.3,34.1,34.3,35.1,34.1,32.1,33.2,34,34.3,35.3,36.6,36.9,34.1,31.8,33.1,33.4
8000,34.4,33.9,33.7,32.6,31.4,31.7,32.7,31.6,29.5,30.5,31.5,31.7,32.5,33.8,34.1,31.5,29.1,30.5,30.6
10000,31.6,31,30.9,29.7,28.6,29,30.2,29.1,26.9,27.8,28.9,28.9,29.7,30.9,31.2,28.7,26.4,27.9,27.8
12500,28.8,28.1,28,26.8,25.8,26.3,27.7,26.6,24.2,25,26.3,26.1,26.8,28,28.2,25.8,23.6,25.1,24.8
16000,25.7,25,24.9,23.7,22.8,23.5,25.1,24,21.5,22.1,23.6,23.3,23.9,24.9,25,22.9,20.6,22.3,21.7
20000,22.6,21.7,21.8,20.5,19.8,20.6,22.4,21.3,18.7,19.2,20.8,20.3,20.8,21.7,21.7,19.8,17.5,19.3,18.4
25000,19.2,18.3,18.4,17.1,16.6,17.5,19.6,18.5,15.8,16.1,17.9,17.3,17.6,18.3,18.2,16.5,14.3,16.1,15.1
