T-2C,J85-GE-4A,Engine runup (70% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,85.7,84.3,86.2,83.8,83,80.4,81.6,78,76.6,74.4,75.4,79.3,81.7,82,80.5,81.7,83.2,64.8,61.9
250,83.2,81.8,83.7,81.3,80.5,78,79.1,75.7,74.3,72.2,73.2,77.2,79.6,79.8,78.3,79.4,80.9,62.4,59.5
315,80.6,79.1,81.1,78.7,78,75.5,76.6,73.3,72.1,69.9,71,75.1,77.4,77.6,76,77,78.5,60,57.2
400,77.9,76.4,78.3,76,75.3,72.8,74,70.9,69.7,67.6,68.8,73,75.3,75.4,73.7,74.6,76,57.5,54.7
500,75,73.5,75.5,73.2,72.6,70.1,71.4,68.4,67.3,65.3,66.6,70.8,73.1,73.1,71.3,72.1,73.4,54.9,52.3
630,72,70.5,72.4,70.2,69.7,67.4,68.6,65.9,65,62.9,64.4,68.6,70.9,70.8,68.9,69.6,70.8,52.3,49.8
800,68.7,67.3,69.2,67,66.8,64.5,65.8,63.4,62.5,60.5,62.1,66.4,68.7,68.5,66.4,67,68,49.5,47.3
1000,65.2,63.9,65.7,63.8,63.7,61.5,63,60.8,60.1,58.1,59.8,64.2,66.5,66.2,63.9,64.4,65.1,46.6,44.7
1250,61.5,60.4,62.1,60.4,60.6,58.5,60.1,58.3,57.7,55.8,57.6,62,64.2,63.8,61.4,61.7,62.1,43.7,42.2
1600,57.6,56.7,58.4,56.9,57.4,55.5,57.2,55.8,55.3,53.4,55.3,59.7,61.9,61.4,58.8,58.9,59,40.6,39.6
2000,53.6,53.1,54.8,53.6,54.3,52.4,54.5,53.3,53,51,53,57.4,59.5,58.9,56.3,56.1,55.8,37.5,37.1
2500,49.8,49.7,51.3,50.5,51.3,49.4,51.8,50.8,50.7,48.7,50.6,55,57,56.4,53.7,53.2,52.5,34.4,34.6
3150,46.3,46.4,48.1,47.5,48.3,46.5,49.1,48.4,48.3,46.3,48.2,52.6,54.5,53.8,51.1,50.4,49.2,31.3,32.1
4000,43.1,43.4,45.1,44.7,45.4,43.6,46.5,45.9,45.9,43.9,45.8,50,51.9,51.1,48.5,47.5,45.9,28.2,29.6
5000,40,40.4,42.2,42,42.6,40.7,43.9,43.4,43.4,41.5,43.2,47.4,49.1,48.4,45.8,44.7,42.6,25.2,27.1
6300,37,37.4,39.4,39.2,39.7,37.8,41.3,40.8,40.8,38.9,40.6,44.6,46.2,45.5,43.1,41.9,39.3,22.3,24.5
8000,34,34.4,36.5,36.3,36.8,34.9,38.5,38.1,38.2,36.3,37.9,41.7,43.2,42.5,40.3,39.1,36,19.4,21.9
10000,31,31.3,33.5,33.3,33.9,32,35.7,35.4,35.4,33.5,35.1,38.7,40,39.4,37.3,36.3,32.8,16.6,19.3
12500,27.9,28,30.4,30.1,30.8,28.9,32.7,32.5,32.4,30.6,32.1,35.5,36.7,36.1,34.3,33.3,29.4,13.7,16.5
16000,24.7,24.6,27.1,26.9,27.6,25.8,29.6,29.4,29.3,27.6,28.9,32.1,33.2,32.7,31.1,30.2,25.9,10.7,13.6
20000,21.3,21,23.7,23.4,24.2,22.5,26.3,26.2,26,24.3,25.5,28.6,29.5,29.1,27.7,26.9,22.3,7.7,10.5
25000,17.8,17.2,20.1,19.7,20.6,18.9,22.8,22.7,22.5,20.9,22,24.8,25.6,25.3,24.1,23.3,18.5,4.5,7.3
