T-33A,J33-A-35,Engine runup (50% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,88.2,86.4,86.5,88.1,88.6,87.5,88.5,89.3,91.1,92.7,96.9,98.2,96.1,91.2,88.1,79.8,70.1,63.5,63.8
250,86,84.2,84.4,85.9,86.4,85.3,86.4,87.2,88.9,90.5,94.7,96,94,89.1,86.1,77.7,68,61.4,61.6
315,83.7,82,82.1,83.6,84.2,83.1,84.2,85,86.8,88.4,92.5,93.8,91.9,87,84,75.6,65.9,59.3,59.5
400,81.3,79.7,79.8,81.4,81.9,80.9,82,82.9,84.6,86.2,90.2,91.6,89.8,84.9,81.9,73.6,63.7,57.1,57.3
500,78.9,77.3,77.5,79,79.6,78.7,79.8,80.7,82.4,84,87.9,89.4,87.6,82.7,79.8,71.4,61.6,55,55.2
630,76.4,75,75.2,76.7,77.3,76.4,77.5,78.5,80.2,81.7,85.6,87.2,85.4,80.6,77.7,69.3,59.4,52.8,53
800,73.8,72.5,72.7,74.2,74.9,74,75.2,76.2,77.9,79.4,83.3,84.9,83.2,78.4,75.6,67.2,57.3,50.6,50.7
1000,71.2,70,70.3,71.8,72.5,71.6,72.9,73.9,75.6,77.1,80.8,82.5,81,76.2,73.5,65,55.1,48.3,48.5
1250,68.4,67.4,67.8,69.2,69.9,69.2,70.5,71.5,73.2,74.7,78.4,80.1,78.7,74,71.3,62.8,52.9,46.1,46.2
1600,65.5,64.8,65.2,66.6,67.4,66.6,68,69.1,70.7,72.3,75.9,77.6,76.3,71.7,69.1,60.6,50.7,43.8,43.9
2000,62.5,62.1,62.6,63.9,64.7,64,65.4,66.6,68.2,69.7,73.2,75.1,73.9,69.3,66.9,58.4,48.5,41.5,41.5
2500,59.4,59.3,60,61.2,62,61.3,62.8,64,65.5,67.1,70.5,72.4,71.3,66.9,64.6,56.1,46.3,39.2,39.1
3150,56.2,56.5,57.2,58.4,59.2,58.4,60.1,61.3,62.8,64.3,67.7,69.6,68.7,64.4,62.2,53.8,44.1,36.9,36.7
4000,53.1,53.6,54.4,55.5,56.2,55.5,57.2,58.5,59.9,61.5,64.6,66.7,65.9,61.9,59.9,51.5,41.8,34.6,34.2
5000,49.9,50.5,51.4,52.5,53.2,52.4,54.2,55.5,56.8,58.4,61.5,63.6,63,59.2,57.4,49.2,39.6,32.2,31.7
6300,46.8,47.4,48.3,49.4,50,49.2,51.1,52.3,53.6,55.2,58.1,60.2,59.9,56.4,54.9,46.8,37.3,29.7,29.2
8000,43.7,44.1,45.1,46.1,46.7,45.8,47.7,49,50.2,51.8,54.5,56.7,56.6,53.5,52.2,44.4,34.9,27.3,26.6
10000,40.5,40.7,41.7,42.6,43.1,42.3,44.2,45.5,46.6,48.1,50.7,52.9,53.1,50.5,49.5,41.9,32.5,24.7,23.9
12500,37.3,37.2,38.1,38.9,39.4,38.6,40.4,41.7,42.8,44.3,46.7,48.9,49.4,47.3,46.7,39.3,30.1,22.1,21.1
16000,34,33.5,34.4,35.1,35.4,34.7,36.5,37.8,38.8,40.3,42.6,44.7,45.5,44,43.8,36.6,27.5,19.4,18.2
20000,30.5,29.7,30.4,31.1,31.2,30.7,32.4,33.7,34.6,36.1,38.3,40.4,41.4,40.6,40.8,33.8,24.8,16.6,15.3
25000,26.9,25.8,26.4,27,26.9,26.6,28.1,29.5,30.4,31.8,33.9,35.9,37.2,37.1,37.6,30.9,22,13.7,12.2
