T-34,PT6A-25,70% Torque (94% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,89,87.4,89.6,89.7,89,93.6,93,93.4,92.3,92.2,92.9,92.4,92.1,91.1,92.1,92.4,87.7,69.5,64.5
250,86.8,85.1,87.3,87.4,86.7,91.4,90.7,91.2,90.2,90.2,90.8,90.3,89.9,88.9,89.9,90.2,85.5,67.3,62.3
315,84.5,82.8,85,85.1,84.4,89.1,88.5,89,88.1,88.1,88.7,88.2,87.8,86.7,87.7,88,83.3,65.1,60.1
400,82.2,80.4,82.6,82.7,82,86.7,86.2,86.8,85.9,86,86.6,86,85.6,84.4,85.4,85.7,80.9,62.9,57.9
500,79.8,78,80.2,80.2,79.6,84.3,83.8,84.4,83.7,83.9,84.5,83.9,83.4,82.1,83.1,83.4,78.6,60.6,55.6
630,77.4,75.5,77.7,77.7,77,81.8,81.3,82.1,81.4,81.7,82.3,81.7,81.1,79.8,80.7,81,76.1,58.2,53.3
800,74.9,72.9,75.1,75.1,74.4,79.3,78.8,79.7,79.2,79.6,80.2,79.5,78.8,77.4,78.2,78.5,73.6,55.9,50.9
1000,72.3,70.3,72.4,72.3,71.8,76.6,76.2,77.2,76.9,77.4,78,77.2,76.5,74.9,75.7,75.9,70.9,53.4,48.5
1250,69.7,67.6,69.7,69.5,69,73.8,73.5,74.6,74.5,75.2,75.8,74.9,74.1,72.4,73,73.1,68.2,50.9,45.9
1600,67.1,64.8,66.9,66.6,66.2,70.9,70.6,72,72.2,73,73.6,72.7,71.7,69.9,70.2,70.3,65.3,48.4,43.4
2000,64.3,62,64,63.6,63.2,67.9,67.7,69.4,69.8,70.8,71.3,70.4,69.4,67.2,67.4,67.3,62.3,45.8,40.7
2500,61.5,59.2,61.1,60.6,60.3,64.8,64.7,66.6,67.3,68.5,69.1,68.1,67,64.6,64.4,64.2,59.1,43.1,38
3150,58.7,56.3,58.1,57.4,57.2,61.5,61.5,63.9,64.9,66.2,66.8,65.7,64.5,61.9,61.4,60.9,55.8,40.4,35.2
4000,55.8,53.4,55,54.3,54.1,58,58.2,61,62.4,63.9,64.4,63.4,62.1,59.2,58.3,57.6,52.3,37.6,32.4
5000,52.8,50.4,52,51,50.9,54.5,54.9,58.1,59.8,61.5,62,61,59.7,56.6,55.2,54.1,48.7,34.8,29.5
6300,49.8,47.4,48.8,47.8,47.6,50.7,51.4,55.2,57.2,59,59.6,58.6,57.3,54,52.1,50.6,44.9,32,26.5
8000,46.6,44.3,45.6,44.5,44.3,46.9,47.9,52.2,54.5,56.4,57.1,56.1,54.8,51.3,49.1,47.2,41.2,29.1,23.5
10000,43.4,41,42.3,41.1,40.9,42.9,44.3,49.1,51.7,53.7,54.4,53.6,52.2,48.7,46.2,43.9,37.6,26.1,20.4
12500,39.9,37.5,38.8,37.6,37.4,38.7,40.8,46,48.8,50.8,51.7,50.9,49.6,46,43.3,40.7,34.1,23,17.2
16000,36.2,33.9,35.2,33.9,33.8,34.4,37.1,42.7,45.6,47.8,48.7,48.1,46.8,43.2,40.3,37.6,30.7,19.8,13.9
20000,32.3,29.9,31.2,30.1,30.1,29.9,33.4,39.3,42.3,44.6,45.6,45.2,43.8,40.2,37.3,34.3,27.2,16.4,10.5
25000,28,25.7,27.1,25.9,26.3,25.3,29.6,35.6,38.8,41.2,42.3,42,40.7,37.1,34.1,30.9,23.7,12.8,6.8
