T-34,PT6A-25,90% torque (98% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,95.8,95.5,91.9,91.9,93.1,94.9,95.2,96.6,96.7,96.6,96.6,96.5,96.6,95.6,96.1,93,75.8,69.3,67.6
250,93.7,93.4,89.7,89.7,90.9,92.7,93,94.4,94.6,94.5,94.5,94.4,94.5,93.4,93.9,90.8,73.6,67.2,65.5
315,91.5,91.2,87.5,87.4,88.6,90.4,90.7,92.2,92.4,92.4,92.3,92.3,92.3,91.2,91.7,88.6,71.5,65.1,63.4
400,89.4,89.1,85.2,85,86.3,88.1,88.4,90,90.2,90.2,90.2,90.1,90.1,89,89.5,86.4,69.3,62.9,61.3
500,87.1,86.8,82.9,82.6,83.8,85.7,86,87.7,88,88.1,88,87.9,87.9,86.7,87.2,84.1,67.1,60.7,59.1
630,84.9,84.6,80.6,80.2,81.4,83.2,83.5,85.3,85.7,85.9,85.8,85.6,85.6,84.3,84.8,81.7,64.9,58.4,57
800,82.6,82.2,78.2,77.6,78.8,80.6,81,82.9,83.4,83.6,83.5,83.3,83.2,81.9,82.4,79.2,62.6,56.1,54.8
1000,80.2,79.9,75.7,75,76.1,78,78.4,80.5,81.1,81.4,81.2,81,80.8,79.4,79.9,76.7,60.2,53.7,52.5
1250,77.8,77.4,73.2,72.3,73.3,75.2,75.6,77.9,78.6,79,78.9,78.6,78.3,76.8,77.2,74.1,57.8,51.2,50.2
1600,75.3,74.9,70.6,69.6,70.5,72.2,72.8,75.3,76.1,76.7,76.5,76.1,75.7,74.1,74.5,71.3,55.3,48.6,47.8
2000,72.8,72.3,67.9,66.7,67.5,69.2,69.9,72.6,73.6,74.3,74.1,73.6,73.1,71.3,71.7,68.4,52.8,45.9,45.4
2500,70.1,69.6,65.1,63.8,64.4,66,66.9,69.9,71,71.8,71.6,71,70.3,68.4,68.7,65.5,50.2,43.1,43
3150,67.3,66.8,62.2,60.9,61.3,62.7,63.9,67.1,68.4,69.4,69.1,68.4,67.4,65.5,65.6,62.3,47.5,40.1,40.5
4000,64.4,63.8,59.3,57.8,58.1,59.3,60.9,64.3,65.7,66.9,66.6,65.8,64.5,62.4,62.5,59.1,44.7,37,37.9
5000,61.3,60.7,56.2,54.8,54.8,55.9,57.8,61.5,63.1,64.3,64,63.1,61.5,59.2,59.2,55.9,41.9,33.7,35.2
6300,58.1,57.5,53,51.6,51.5,52.5,54.9,58.7,60.4,61.7,61.5,60.4,58.6,56.1,55.9,52.6,39,30.2,32.6
8000,54.7,54,49.7,48.4,48.2,49.2,52,55.9,57.7,59.1,58.9,57.8,55.6,53,52.6,49.3,36.1,26.6,29.8
10000,51.1,50.4,46.3,45.1,44.9,45.9,49.2,53.1,54.9,56.4,56.2,55.1,52.7,49.9,49.3,46.1,33.2,22.9,27.1
12500,47.3,46.5,42.7,41.7,41.4,42.8,46.3,50.2,52.1,53.7,53.5,52.3,49.8,46.9,46,42.9,30.3,19,24.3
16000,43.2,42.4,39,38.1,37.8,39.6,43.4,47.2,49.1,50.8,50.6,49.5,46.9,43.8,42.6,39.7,27.2,15.1,21.4
20000,38.9,38,35,34.3,34,36.3,40.3,44.1,46,47.8,47.6,46.5,43.8,40.7,39.2,36.4,24.1,11.1,18.5
25000,34.2,33.2,30.7,30.3,29.9,32.9,37.1,40.7,42.6,44.5,44.4,43.3,40.7,37.4,35.6,32.9,20.8,6.9,15.5
