T-38A,J85-GE-5A,Military power (100% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,93.2,96.1,98.1,98.8,99.5,100.3,102,102.8,104.8,105.2,108,110.5,114.5,116.8,114.8,106,92.5,84.1,78.7
250,91,93.9,96,96.6,97.3,98.1,99.8,100.6,102.6,103,105.8,108.4,112.4,114.7,112.8,103.9,90.4,82.1,76.6
315,88.7,91.8,93.8,94.4,95.1,95.8,97.6,98.4,100.4,100.9,103.7,106.2,110.2,112.6,110.7,101.8,88.3,80,74.5
400,86.5,89.6,91.6,92.2,92.9,93.6,95.3,96.1,98.1,98.7,101.4,104.1,108,110.5,108.5,99.8,86.2,77.9,72.4
500,84.1,87.4,89.3,89.9,90.6,91.2,93,93.8,95.8,96.5,99.2,101.8,105.8,108.4,106.4,97.7,84,75.7,70.3
630,81.8,85.1,87,87.6,88.3,88.9,90.6,91.5,93.4,94.2,96.9,99.6,103.5,106.2,104.2,95.5,81.9,73.6,68.1
800,79.3,82.8,84.6,85.2,85.9,86.4,88.2,89.1,91,91.9,94.5,97.3,101.2,104.1,102,93.4,79.7,71.4,65.9
1000,76.8,80.4,82.2,82.7,83.5,83.9,85.7,86.6,88.4,89.5,92,94.9,98.9,101.8,99.8,91.2,77.4,69.2,63.7
1250,74.3,78,79.7,80.1,81,81.3,83.1,84,85.8,87,89.5,92.4,96.4,99.6,97.4,89,75.2,66.9,61.4
1600,71.7,75.4,77.1,77.5,78.3,78.5,80.4,81.4,83.1,84.5,86.9,89.9,93.9,97.2,95.1,86.8,72.8,64.6,59.1
2000,69,72.8,74.3,74.7,75.6,75.7,77.7,78.6,80.3,81.9,84.3,87.3,91.3,94.8,92.6,84.4,70.4,62.2,56.7
2500,66.2,70.1,71.5,71.9,72.8,72.8,74.8,75.8,77.4,79.2,81.5,84.5,88.6,92.4,90.1,82.1,67.9,59.7,54.2
3150,63.3,67.3,68.6,68.9,69.9,69.7,71.8,72.8,74.4,76.3,78.5,81.7,85.8,89.8,87.4,79.6,65.3,57.1,51.7
4000,60.3,64.3,65.5,65.8,66.8,66.5,68.7,69.7,71.2,73.4,75.5,78.7,82.9,87,84.6,77,62.6,54.4,49
5000,57.1,61.2,62.3,62.6,63.6,63.2,65.4,66.5,67.9,70.2,72.3,75.5,79.8,84.2,81.7,74.4,59.8,51.5,46.3
6300,53.9,57.9,58.9,59.1,60.3,59.7,62,63.1,64.5,66.9,68.9,72.1,76.6,81.1,78.6,71.5,56.8,48.5,43.4
8000,50.4,54.5,55.4,55.5,56.7,56.1,58.4,59.5,60.9,63.4,65.4,68.6,73.2,77.9,75.4,68.6,53.7,45.4,40.3
10000,46.8,50.8,51.6,51.7,53,52.3,54.6,55.8,57.2,59.7,61.6,64.8,69.6,74.3,72,65.4,50.5,42,37.1
12500,43,46.8,47.6,47.7,49,48.3,50.5,51.8,53.2,55.8,57.6,60.7,65.7,70.6,68.3,62.1,47,38.3,33.7
16000,38.9,42.6,43.4,43.4,44.8,44.1,46.2,47.5,49,51.5,53.3,56.4,61.5,66.4,64.5,58.5,43.4,34.5,30.1
20000,34.6,38.1,38.9,38.9,40.3,39.7,41.7,43,44.6,47,48.7,51.8,57,62,60.4,54.6,39.6,30.4,26.3
25000,30.1,33.3,34.1,34.1,35.4,35,36.9,38.3,39.9,42.2,43.8,46.9,52.2,57.2,56.1,50.6,35.7,26,22.3
