T-38A,J85-GE-5A,Idle (48% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,86,86.2,85.7,85.2,84.6,79.7,80.8,79.3,75.8,76.3,76.9,79.1,79.8,81.1,79.7,83.1,76.2,66.3,65.5
250,83.6,83.7,83.2,82.6,82,77.2,78.3,76.9,73.5,74.2,74.8,76.9,77.6,78.8,77.4,80.7,73.8,63.9,63.1
315,81,81.1,80.6,79.9,79.4,74.6,75.7,74.3,71.2,72,72.6,74.6,75.5,76.5,75.1,78.3,71.4,61.5,60.7
400,78.3,78.4,77.8,77.1,76.6,72,73.1,71.7,68.9,69.8,70.5,72.3,73.3,74.1,72.8,75.8,68.8,58.9,58.3
500,75.4,75.5,74.9,74.1,73.7,69.3,70.3,69,66.6,67.6,68.3,70,71,71.7,70.4,73.2,66.2,56.2,55.8
630,72.4,72.5,71.9,71,70.7,66.5,67.5,66.2,64.2,65.4,66.1,67.7,68.8,69.2,67.9,70.5,63.4,53.5,53.2
800,69.2,69.3,68.7,67.8,67.6,63.8,64.6,63.4,61.8,63.2,63.9,65.4,66.5,66.8,65.4,67.6,60.6,50.5,50.5
1000,65.8,66,65.4,64.5,64.4,61,61.7,60.6,59.4,60.9,61.7,63,64.2,64.2,62.8,64.7,57.6,47.5,47.8
1250,62.3,62.4,61.9,61.1,61.3,58.3,58.8,57.8,57,58.7,59.5,60.7,61.8,61.7,60.2,61.6,54.5,44.3,45
1600,58.5,58.6,58.4,57.7,58.1,55.5,55.9,55.1,54.6,56.4,57.2,58.3,59.4,59.1,57.6,58.4,51.3,41.1,42.2
2000,54.6,54.8,54.8,54.3,55,52.7,53,52.4,52.2,54.1,54.9,55.8,57,56.5,55,55.2,48.1,37.9,39.4
2500,50.7,51.1,51.3,51,51.9,49.9,50.2,49.9,49.8,51.8,52.5,53.4,54.4,53.9,52.4,52.1,44.9,34.7,36.5
3150,46.9,47.6,47.9,47.9,48.8,47,47.4,47.3,47.4,49.4,50.1,50.8,51.8,51.2,49.7,49,41.7,31.7,33.7
4000,43.4,44.3,44.7,44.8,45.8,44.1,44.7,44.8,44.9,46.9,47.6,48.2,49.1,48.5,47,46,38.6,28.8,30.9
5000,39.9,41.2,41.6,41.7,42.9,41.2,41.9,42.2,42.3,44.4,45,45.5,46.3,45.7,44.3,43,35.6,26,28.1
6300,36.6,38.2,38.5,38.7,39.9,38.2,39.1,39.5,39.7,41.7,42.3,42.7,43.3,42.8,41.6,40.1,32.5,23.3,25.4
8000,33.3,35.1,35.4,35.6,36.8,35.2,36.3,36.7,36.9,38.9,39.4,39.7,40.2,39.8,38.8,37.1,29.4,20.5,22.6
10000,30,31.9,32.3,32.5,33.7,32.2,33.3,33.8,34,35.9,36.4,36.5,36.9,36.6,35.8,34.1,26.2,17.8,19.8
12500,26.7,28.5,29,29.3,30.4,29.1,30.2,30.8,30.9,32.8,33.2,33.2,33.5,33.3,32.8,31.1,22.9,15,16.9
16000,23.4,25,25.7,25.9,27,25.8,27,27.5,27.6,29.4,29.8,29.6,29.8,29.9,29.6,27.8,19.4,12.1,13.9
20000,19.9,21.4,22.2,22.3,23.3,22.3,23.6,24.1,24.1,25.9,26.3,25.9,25.9,26.2,26.2,24.4,15.7,9,10.8
25000,16.3,17.5,18.6,18.5,19.4,18.6,20,20.4,20.4,22.1,22.5,21.9,21.8,22.4,22.6,20.8,11.8,5.9,7.6
