T-38A,J85-GE-5A,Engine runup (70% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,87.5,86,87.9,85.5,84.7,82.1,83.2,79.6,78.1,75.9,76.8,80.7,83.1,83.4,82.1,83.2,84.9,66.4,63.4
250,85,83.5,85.4,83,82.2,79.6,80.8,77.3,75.9,73.7,74.7,78.6,81,81.3,79.8,80.9,82.5,64.1,61.1
315,82.4,80.8,82.8,80.4,79.7,77.1,78.3,74.9,73.6,71.4,72.5,76.5,78.8,79,77.5,78.6,80.1,61.6,58.7
400,79.6,78.1,80.1,77.7,77,74.5,75.7,72.5,71.2,69.1,70.3,74.3,76.7,76.8,75.2,76.2,77.7,59.1,56.3
500,76.8,75.2,77.2,74.9,74.3,71.8,73,70,68.8,66.7,68,72.2,74.5,74.6,72.8,73.7,75.1,56.6,53.8
630,73.7,72.2,74.1,71.9,71.4,69,70.2,67.4,66.4,64.3,65.8,70,72.3,72.3,70.4,71.2,72.4,53.9,51.3
800,70.4,69,70.9,68.7,68.4,66.1,67.4,64.9,64,61.9,63.5,67.8,70.1,69.9,67.9,68.6,69.6,51.1,48.8
1000,66.9,65.6,67.4,65.4,65.3,63.1,64.5,62.3,61.5,59.5,61.2,65.6,67.9,67.6,65.4,65.9,66.7,48.2,46.2
1250,63.1,62,63.8,62,62.1,60.1,61.6,59.7,59.1,57.1,58.9,63.3,65.6,65.2,62.8,63.2,63.7,45.3,43.6
1600,59.2,58.3,60,58.5,58.9,57,58.7,57.1,56.7,54.7,56.6,61.1,63.3,62.8,60.2,60.4,60.5,42.2,41.1
2000,55.2,54.6,56.3,55.1,55.8,53.9,55.9,54.6,54.3,52.4,54.3,58.7,60.9,60.3,57.6,57.5,57.3,39.1,38.5
2500,51.3,51.1,52.8,51.9,52.7,50.9,53.1,52.2,52,50,51.9,56.3,58.4,57.7,55,54.7,54,35.9,36
3150,47.8,47.8,49.5,48.9,49.7,47.9,50.5,49.7,49.6,47.7,49.5,53.9,55.9,55.1,52.4,51.8,50.7,32.8,33.5
4000,44.5,44.8,46.5,46.1,46.8,44.9,47.9,47.2,47.2,45.2,47.1,51.3,53.2,52.5,49.8,48.9,47.3,29.6,30.9
5000,41.4,41.7,43.6,43.3,43.9,42,45.3,44.7,44.7,42.8,44.6,48.7,50.4,49.7,47.1,46.1,44,26.6,28.4
6300,38.4,38.7,40.7,40.5,41.1,39.1,42.6,42.1,42.2,40.2,41.9,45.9,47.6,46.8,44.4,43.3,40.6,23.7,25.9
8000,35.3,35.7,37.8,37.6,38.2,36.2,39.8,39.4,39.5,37.6,39.2,43,44.5,43.8,41.6,40.4,37.4,20.8,23.3
10000,32.3,32.6,34.8,34.6,35.2,33.3,37,36.7,36.7,34.8,36.4,40,41.3,40.7,38.6,37.6,34.1,18,20.6
12500,29.2,29.3,31.7,31.5,32.1,30.3,34,33.8,33.8,31.9,33.4,36.8,38,37.5,35.6,34.6,30.7,15.1,17.8
16000,26,25.9,28.4,28.2,28.9,27.1,30.9,30.7,30.6,28.9,30.2,33.4,34.5,34,32.4,31.5,27.2,12.1,14.9
20000,22.6,22.3,25,24.7,25.5,23.8,27.6,27.5,27.3,25.7,26.8,29.9,30.8,30.4,29,28.2,23.6,9,11.9
25000,19.1,18.5,21.4,21,21.9,20.2,24.1,24,23.8,22.2,23.3,26.1,26.9,26.6,25.4,24.6,19.8,5.8,8.6
