T-38,J85-GE-5A,Idle (48% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,74.7,80.6,82.7,81.6,80.5,77.6,75.3,72.8,71.3,70.8,71.2,71.7,73.6,76.2,77.3,75.2,73.7,74.8,75.1
250,72.4,78.2,80.3,79.3,78.1,75.3,73,70.5,69.2,68.6,68.9,69.4,71.3,74,75.1,72.9,71.4,72.6,73
315,70.1,75.8,77.9,76.8,75.7,72.9,70.6,68.2,66.9,66.4,66.6,67,69,71.7,72.9,70.5,69.1,70.4,70.8
400,67.7,73.3,75.5,74.3,73.2,70.5,68.2,65.9,64.7,64.1,64.3,64.6,66.7,69.4,70.6,68.2,66.7,68.1,68.6
500,65.4,70.8,72.9,71.8,70.6,68,65.7,63.5,62.4,61.8,61.9,62.1,64.3,67.1,68.3,65.7,64.3,65.8,66.3
630,62.9,68.2,70.3,69.1,67.9,65.4,63.2,61,60.1,59.4,59.4,59.6,61.9,64.8,66,63.2,61.8,63.5,64
800,60.5,65.5,67.6,66.4,65.2,62.7,60.6,58.5,57.7,57,56.9,57,59.5,62.5,63.7,60.7,59.2,61.1,61.7
1000,58.1,62.8,64.9,63.7,62.3,60,57.9,56,55.3,54.6,54.3,54.4,57,60.1,61.3,58.1,56.7,58.7,59.3
1250,55.6,60.1,62.1,60.9,59.4,57.3,55.2,53.5,52.8,52.1,51.7,51.7,54.6,57.8,58.9,55.5,54.1,56.3,56.8
1600,53.2,57.3,59.3,58,56.4,54.5,52.5,50.9,50.3,49.6,49.1,49,52.1,55.4,56.6,52.8,51.5,53.8,54.2
2000,50.8,54.5,56.5,55.2,53.5,51.7,49.8,48.3,47.8,47.1,46.5,46.4,49.7,53.1,54.2,50.2,48.8,51.3,51.6
2500,48.3,51.7,53.7,52.3,50.5,48.9,47.2,45.7,45.2,44.5,43.9,43.7,47.2,50.7,51.8,47.5,46.2,48.8,48.9
3150,45.9,48.9,50.8,49.5,47.5,46.2,44.5,43,42.6,41.9,41.2,41,44.7,48.3,49.4,44.8,43.5,46.3,46.2
4000,43.4,46.1,47.9,46.6,44.6,43.4,41.9,40.3,39.9,39.3,38.5,38.4,42.1,45.8,46.9,42.1,40.8,43.6,43.3
5000,40.8,43.2,45,43.8,41.6,40.6,39.1,37.5,37.1,36.6,35.8,35.7,39.5,43.3,44.4,39.3,38,40.9,40.3
6300,38.2,40.3,42,40.8,38.7,37.8,36.4,34.7,34.2,33.8,33,33,36.7,40.6,41.8,36.4,35.2,38,37.2
8000,35.4,37.3,38.9,37.8,35.7,34.9,33.5,31.7,31.2,30.9,30.1,30.2,33.9,37.9,39.1,33.5,32.2,35.1,34
10000,32.5,34.1,35.7,34.7,32.6,31.8,30.5,28.6,28.1,27.9,27.1,27.3,31,35,36.2,30.5,29.2,32,30.7
12500,29.5,30.8,32.3,31.4,29.4,28.7,27.4,25.3,24.8,24.8,24,24.4,27.9,31.9,33.2,27.3,26.1,28.7,27.3
16000,26.3,27.3,28.7,27.9,26.1,25.3,24.1,21.9,21.3,21.5,20.7,21.4,24.7,28.7,30,24.1,22.9,25.3,23.8
20000,22.8,23.6,24.9,24.1,22.7,21.8,20.6,18.3,17.6,18.1,17.3,18.3,21.4,25.3,26.7,20.9,19.7,21.7,20.2
25000,19.2,19.7,20.8,20,19.1,18,16.9,14.5,13.7,14.6,13.8,15,17.8,21.7,23,17.5,16.3,18,16.5
