T-38,J85-GE-5,Max power A/B (100% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,65.5,63.3,63.4,60.6,62.4,60.5,58.3,59.5,58.1,65.8,65.8,67.4,67.4,71.8,68.4,71.6,74,80.4,84.2
250,63.4,61.3,61.3,58.5,60.3,58.5,56.2,57.4,56,63.7,63.7,65.3,65.3,69.7,66.3,69.5,72,78.4,82.2
315,61.4,59.2,59.2,56.4,58.2,56.4,54.2,55.3,53.9,61.6,61.6,63.2,63.2,67.6,64.2,67.4,69.9,76.3,80.1
400,59.3,57,57,54.3,56,54.3,52,53.2,51.7,59.5,59.5,61.1,61.1,65.5,62.1,65.3,67.8,74.2,78
500,57.2,54.9,54.9,52.1,53.9,52.1,49.9,51.1,49.5,57.4,57.4,59,59,63.4,59.9,63.2,65.6,72.2,75.9
630,55,52.7,52.7,49.9,51.7,49.9,47.7,48.9,47.3,55.3,55.3,56.8,56.8,61.2,57.8,61,63.5,70.1,73.8
800,52.9,50.5,50.4,47.7,49.4,47.7,45.5,46.8,45.1,53.1,53.1,54.6,54.6,59,55.6,58.8,61.3,67.9,71.7
1000,50.7,48.2,48.1,45.4,47.1,45.5,43.3,44.6,42.9,50.9,50.9,52.4,52.4,56.7,53.3,56.6,59.1,65.8,69.5
1250,48.4,45.9,45.8,43,44.8,43.2,41,42.3,40.6,48.7,48.7,50.1,50.1,54.4,51,54.3,56.8,63.6,67.2
1600,46.1,43.5,43.3,40.6,42.4,40.8,38.7,40,38.2,46.4,46.4,47.7,47.7,52,48.7,51.9,54.5,61.4,64.9
2000,43.8,41.1,40.8,38.1,39.9,38.4,36.3,37.7,35.9,44,44,45.3,45.3,49.6,46.3,49.5,52.1,59.1,62.6
2500,41.3,38.5,38.2,35.6,37.3,35.9,33.8,35.2,33.4,41.6,41.6,42.8,42.8,47,43.8,46.9,49.6,56.7,60.1
3150,38.9,35.9,35.6,33,34.6,33.3,31.3,32.8,31,39.2,39.2,40.2,40.2,44.4,41.2,44.2,46.9,54.2,57.5
4000,36.3,33.2,32.8,30.3,31.9,30.6,28.6,30.2,28.5,36.6,36.6,37.5,37.5,41.7,38.6,41.4,44.2,51.7,54.8
5000,33.7,30.4,30,27.5,29.1,27.9,26,27.6,25.9,33.9,33.9,34.8,34.8,38.8,35.8,38.5,41.3,49,52
6300,31,27.4,27,24.6,26.2,25,23.2,25,23.4,31.2,31.2,31.9,31.9,35.9,33,35.3,38.3,46.1,48.9
8000,28.2,24.4,24,21.7,23.3,22.1,20.4,22.2,20.7,28.3,28.3,28.9,28.9,32.8,30,32,35,43.1,45.7
10000,25.3,21.3,20.9,18.8,20.2,19.1,17.6,19.4,18.1,25.2,25.2,25.8,25.8,29.5,26.9,28.4,31.5,39.8,42.1
12500,22.2,18,17.7,15.7,17.2,16,14.7,16.6,15.4,22.1,22.1,22.5,22.5,26,23.6,24.5,27.8,36.3,38.2
16000,19,14.6,14.4,12.5,14,12.8,11.7,13.7,12.6,18.8,18.8,19.2,19.2,22.4,20.1,20.4,23.8,32.4,33.9
20000,15.7,11,11,9.2,10.7,9.6,8.7,10.8,9.8,15.3,15.3,15.7,15.7,18.5,16.4,16.2,19.5,28.2,29.2
25000,12.1,7.3,7.5,5.7,7.4,6.3,5.6,7.7,6.9,11.7,11.7,12.1,12.1,14.5,12.5,11.8,15,23.5,24
