T-38,J85-GE-5,Engine runup (80% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,59.6,57.4,55.3,55,54.4,51.9,50.5,52.2,50.8,53.1,52.4,55.3,56.6,56.6,53.6,52.9,52.9,57,57
250,57.5,55.3,53.2,53,52.4,49.9,48.4,50.1,48.7,51,50.3,53.2,54.5,54.5,51.5,50.8,50.8,54.9,54.9
315,55.5,53.3,51.1,50.9,50.3,47.8,46.4,48.1,46.6,48.9,48.2,51.1,52.5,52.5,49.3,48.7,48.7,52.7,52.7
400,53.4,51.2,49.1,48.8,48.2,45.7,44.3,46,44.4,46.7,46.1,49,50.4,50.4,47.1,46.6,46.6,50.5,50.5
500,51.3,49.1,47,46.8,46.1,43.6,42.2,43.9,42.2,44.6,44,46.9,48.3,48.3,44.9,44.4,44.4,48.3,48.3
630,49.2,47,44.9,44.7,43.9,41.5,40.1,41.8,40.1,42.4,41.9,44.7,46.1,46.1,42.6,42.2,42.2,46,46
800,47.1,44.9,42.8,42.5,41.8,39.3,38,39.7,37.9,40.3,39.7,42.6,44,44,40.4,40,40,43.7,43.7
1000,45,42.8,40.6,40.4,39.6,37.1,35.9,37.6,35.7,38.1,37.6,40.4,41.8,41.8,38.1,37.8,37.8,41.4,41.4
1250,42.8,40.7,38.5,38.2,37.4,34.9,33.7,35.4,33.4,35.9,35.4,38.2,39.6,39.6,35.7,35.5,35.5,39,39
1600,40.6,38.5,36.3,36,35.1,32.7,31.6,33.2,31.2,33.6,33.2,35.9,37.3,37.3,33.4,33.2,33.2,36.6,36.6
2000,38.4,36.3,34,33.8,32.9,30.5,29.4,31,28.9,31.3,31,33.6,35,35,30.9,30.9,30.9,34.2,34.2
2500,36.2,34.1,31.8,31.5,30.6,28.1,27.2,28.8,26.5,29,28.7,31.2,32.6,32.6,28.5,28.6,28.6,31.7,31.7
3150,33.9,31.8,29.5,29.2,28.2,25.8,24.9,26.5,24.2,26.6,26.4,28.8,30.2,30.2,26,26.2,26.2,29.1,29.1
4000,31.5,29.4,27.1,26.8,25.8,23.4,22.6,24.1,21.8,24.2,24,26.3,27.6,27.6,23.4,23.7,23.7,26.6,26.6
5000,29.1,27,24.7,24.4,23.3,20.9,20.2,21.7,19.3,21.8,21.6,23.8,25,25,20.8,21.2,21.2,23.9,23.9
6300,26.6,24.6,22.2,21.8,20.7,18.4,17.8,19.2,16.8,19.2,19.2,21.1,22.2,22.2,18.1,18.6,18.6,21.2,21.2
8000,24.1,22,19.6,19.2,18.1,15.8,15.4,16.7,14.3,16.6,16.7,18.3,19.4,19.4,15.4,16,16,18.5,18.5
10000,21.4,19.4,16.9,16.5,15.4,13.2,12.8,14,11.6,14,14.1,15.5,16.4,16.4,12.5,13.3,13.3,15.7,15.7
12500,18.6,16.6,14.1,13.6,12.5,10.4,10.2,11.3,8.9,11.2,11.5,12.5,13.3,13.3,9.6,10.5,10.5,12.8,12.8
16000,15.7,13.7,11.2,10.6,9.6,7.5,7.5,8.5,6.2,8.3,8.8,9.4,10.1,10.1,6.5,7.6,7.6,9.9,9.9
20000,12.6,10.6,8.1,7.4,6.5,4.5,4.6,5.5,3.3,5.3,6,6.2,6.8,6.8,3.4,4.7,4.7,6.9,6.9
25000,9.4,7.4,4.7,4,3.3,1.3,1.5,2.4,0.3,2.2,3.1,2.8,3.3,3.3,0.1,1.7,1.7,3.9,3.9
