T-39A,J60-P-3A,Idle (41% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,86.6,87.9,85.6,85.6,81.4,81.8,73.9,78.4,77.4,76.3,70.8,73.9,70.6,70.7,73.9,69,73.9,60.4,66.2
250,84.3,85.5,83.2,83.2,79,79.4,71.6,76.2,75.1,74,68.6,71.7,68.5,68.5,71.8,66.8,71.7,58.3,64
315,81.8,82.9,80.7,80.7,76.5,76.9,69.3,73.8,72.8,71.7,66.3,69.4,66.3,66.3,69.5,64.6,69.5,56.1,61.8
400,79.3,80.3,78.2,78.2,74,74.4,66.9,71.4,70.4,69.4,64,67.1,64.1,64,67.3,62.4,67.2,53.9,59.6
500,76.8,77.5,75.5,75.6,71.4,71.8,64.4,69,68,67,61.6,64.7,61.9,61.7,65,60.1,64.9,51.6,57.3
630,74.1,74.6,72.7,72.9,68.7,69,61.9,66.4,65.5,64.5,59.2,62.3,59.6,59.4,62.7,57.8,62.6,49.3,55
800,71.4,71.6,69.9,70,66,66.2,59.3,63.8,62.9,62,56.7,59.8,57.3,57.1,60.3,55.4,60.2,46.9,52.7
1000,68.6,68.5,66.9,67.1,63.2,63.3,56.7,61.1,60.3,59.5,54.2,57.3,55,54.7,57.9,53.1,57.7,44.5,50.3
1250,65.7,65.2,63.7,64.1,60.3,60.3,53.9,58.3,57.6,56.8,51.7,54.7,52.6,52.2,55.4,50.6,55.2,42,47.8
1600,62.6,62,60.5,61.1,57.3,57.3,51.1,55.4,54.8,54.1,49,52,50.1,49.8,52.9,48.2,52.6,39.4,45.2
2000,59.5,58.6,57.2,57.9,54.2,54.1,48.2,52.3,51.9,51.3,46.3,49.2,47.6,47.2,50.3,45.6,49.9,36.7,42.5
2500,56.3,55.2,53.8,54.7,51,50.9,45.2,49.2,48.8,48.4,43.5,46.3,44.9,44.6,47.7,43,47.1,33.9,39.8
3150,52.9,51.7,50.3,51.3,47.6,47.5,42.1,45.8,45.7,45.3,40.6,43.3,42.2,41.9,44.9,40.4,44.1,31.1,36.9
4000,49.3,48.2,46.6,47.7,44.1,43.9,38.9,42.3,42.3,42.1,37.7,40.2,39.3,39.2,42.1,37.6,41.1,28.1,34
5000,45.5,44.4,42.7,43.9,40.3,40.1,35.5,38.6,38.8,38.7,34.6,36.9,36.4,36.3,39.1,34.8,37.9,25,31
6300,41.4,40.6,38.7,39.9,36.2,36.1,31.9,34.7,35.1,35.2,31.4,33.5,33.3,33.4,36.1,31.9,34.7,21.9,28
8000,37.1,36.5,34.6,35.6,31.9,31.8,28.2,30.6,31.2,31.4,28.2,30,30,30.3,32.9,28.9,31.3,18.7,24.9
10000,32.5,32.4,30.4,31.2,27.3,27.3,24.5,26.5,27.2,27.5,24.9,26.3,26.7,27.1,29.6,25.7,28,15.5,21.9
12500,27.8,28.2,26.3,26.8,22.7,22.7,20.7,22.5,23.2,23.5,21.6,22.6,23.2,23.9,26.1,22.4,24.7,12.2,18.9
16000,23.2,24,22.4,22.6,18.1,18.4,17,18.8,19.3,19.5,18.3,19,19.5,20.4,22.5,19,21.4,8.9,15.9
20000,18.8,19.9,18.6,18.6,13.9,14.3,13.4,15.3,15.4,15.4,15,15.3,15.8,16.9,18.8,15.6,18.1,5.6,12.9
25000,14.5,15.6,14.8,14.8,9.8,10.4,9.8,11.9,11.6,11.4,11.6,11.7,12.1,13.3,14.9,12,14.7,2.3,9.9
