T-39A,J60-P-3A,Engine runup (75% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,90.2,89.6,92.5,93.7,92.6,92.7,90.7,87.1,85.7,85.5,86.4,87.2,89.2,89.6,89.6,80.6,78.7,65.5,45.5
250,87.8,87.2,90.1,91.2,90.1,90.3,88.2,84.7,83.4,83.3,84.3,85.1,87,87.5,87.5,78.5,76.6,63.4,43.4
315,85.4,84.8,87.6,88.7,87.6,87.8,85.7,82.2,81,81,82,82.8,84.8,85.3,85.4,76.4,74.5,61.2,41.2
400,82.8,82.2,84.9,86,84.9,85.1,83.1,79.7,78.5,78.7,79.8,80.6,82.6,83.1,83.3,74.3,72.3,59.1,39.1
500,80.1,79.6,82.1,83.2,82.1,82.2,80.3,77,75.9,76.4,77.4,78.3,80.4,80.9,81.1,72.1,70.2,56.9,36.9
630,77.2,76.9,79.1,80.2,79,79.2,77.4,74.3,73.1,73.9,75.1,75.9,78,78.6,78.9,70,68,54.6,34.6
800,74.2,74,76,76.9,75.7,76,74.3,71.3,70.3,71.4,72.6,73.5,75.6,76.3,76.7,67.8,65.8,52.4,32.4
1000,71.1,71.1,72.6,73.4,72.2,72.5,71,68.3,67.3,68.9,70.1,71,73.2,73.9,74.4,65.5,63.5,50.1,30.1
1250,67.9,68,69.1,69.7,68.4,68.8,67.6,65.2,64.3,66.2,67.5,68.5,70.7,71.4,72.1,63.2,61.2,47.8,27.8
1600,64.7,65,65.4,65.7,64.4,64.9,64.1,62,61.3,63.5,64.9,65.8,68,68.9,69.7,60.9,58.9,45.4,25.4
2000,61.5,62,61.8,61.8,60.4,61,60.6,58.8,58.2,60.7,62.1,63.1,65.3,66.2,67.3,58.5,56.5,43.1,23.1
2500,58.5,59,58.3,58,56.5,57.3,57.3,55.7,55.2,57.8,59.3,60.3,62.5,63.5,64.8,56.1,54,40.6,20.6
3150,55.5,56.1,55,54.5,52.9,53.8,54.1,52.7,52.1,54.7,56.3,57.4,59.5,60.7,62.2,53.6,51.5,38.1,18.1
4000,52.6,53.2,51.9,51.3,49.5,50.5,50.9,49.6,49.1,51.5,53.2,54.3,56.4,57.8,59.5,51.1,48.9,35.6,15.6
5000,49.7,50.1,48.8,48.2,46.3,47.3,47.7,46.4,45.9,48.2,50,51.1,53.2,54.8,56.7,48.5,46.3,33.1,13.1
6300,46.7,47,45.7,45,43,44,44.3,43.1,42.6,44.7,46.6,47.8,49.8,51.7,53.8,45.9,43.6,30.5,10.5
8000,43.6,43.7,42.4,41.7,39.5,40.5,40.8,39.7,39.3,41,43.1,44.3,46.3,48.5,50.8,43.2,40.9,27.8,7.8
10000,40.2,40.2,39,38.2,35.9,36.9,37.1,36.2,35.8,37.2,39.4,40.7,42.7,45.2,47.6,40.4,38.1,25.1,5.1
12500,36.7,36.5,35.4,34.5,32.1,33.1,33.3,32.5,32.1,33.4,35.6,36.9,39,41.8,44.4,37.6,35.2,22.3,2.3
16000,32.9,32.6,31.6,30.6,28.2,29.1,29.2,28.7,28.4,29.4,31.6,33.1,35.3,38.4,41,34.6,32.3,19.4,-0.6
20000,28.9,28.4,27.6,26.5,24.2,24.9,24.9,24.6,24.6,25.3,27.5,29.2,31.4,34.8,37.5,31.6,29.2,16.3,-3.7
25000,24.4,23.9,23.3,22.1,19.9,20.5,20.5,20.5,20.6,21.2,23.3,25.1,27.4,31,33.8,28.3,25.9,13.1,-6.9
