T-6,PT6A-68,90% torque (97% N1),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,98,98.1,95.2,95.3,96.1,96.7,98.7,99.2,100.1,99.3,99.7,99.7,99.3,99.2,100.2,98.4,88.8,73.2,75.2
250,95.8,95.9,93,93,93.9,94.5,96.4,97,97.9,97.2,97.6,97.6,97.2,97.1,98,96.2,86.6,71.1,73.1
315,93.7,93.8,90.7,90.7,91.5,92.2,94.2,94.8,95.7,95.1,95.5,95.4,95.1,94.9,95.8,94,84.4,69,71
400,91.5,91.6,88.4,88.4,89.2,89.8,91.8,92.5,93.5,92.9,93.3,93.3,92.9,92.7,93.6,91.7,82.1,66.8,68.9
500,89.2,89.4,86.1,85.9,86.7,87.3,89.4,90.2,91.2,90.8,91.2,91.1,90.7,90.4,91.3,89.4,79.8,64.7,66.7
630,87,87.1,83.7,83.4,84.2,84.8,87,87.7,88.9,88.6,89,88.9,88.4,88.1,89,87.1,77.4,62.5,64.6
800,84.6,84.8,81.3,80.8,81.6,82.1,84.4,85.3,86.5,86.3,86.7,86.6,86.1,85.7,86.5,84.6,75,60.2,62.4
1000,82.3,82.4,78.8,78.2,78.9,79.3,81.7,82.7,84.1,84.1,84.5,84.3,83.7,83.2,84,82.1,72.4,57.9,60.1
1250,79.8,80,76.2,75.5,76.1,76.4,78.9,80.1,81.6,81.8,82.2,82,81.3,80.7,81.4,79.4,69.8,55.5,57.8
1600,77.3,77.5,73.5,72.7,73.2,73.4,76,77.4,79,79.5,79.9,79.6,78.8,78,78.7,76.6,67.1,53.1,55.5
2000,74.7,74.9,70.7,69.8,70.1,70.3,73,74.6,76.3,77.1,77.5,77.1,76.2,75.3,75.8,73.7,64.2,50.6,53.1
2500,72,72.2,67.9,66.9,67,67.1,69.9,71.7,73.6,74.8,75.1,74.7,73.6,72.5,72.8,70.7,61.3,47.9,50.7
3150,69.1,69.4,64.9,63.9,63.9,63.7,66.7,68.8,70.9,72.4,72.7,72.2,70.9,69.6,69.7,67.5,58.2,45.2,48.2
4000,66.2,66.4,61.9,60.8,60.6,60.3,63.4,66,68.2,69.9,70.2,69.6,68.2,66.5,66.4,64.2,54.9,42.4,45.6
5000,63.1,63.3,58.7,57.8,57.4,56.9,60.1,63.1,65.4,67.5,67.8,67.1,65.4,63.5,63,60.8,51.6,39.4,43
6300,59.8,60,55.5,54.6,54.1,53.5,56.9,60.3,62.7,64.9,65.2,64.6,62.7,60.4,59.5,57.3,48.2,36.3,40.4
8000,56.4,56.5,52.1,51.4,50.8,50.2,53.8,57.5,60,62.4,62.7,62,59.9,57.3,56,53.8,44.7,33.1,37.6
10000,52.7,52.9,48.7,48.1,47.4,46.9,50.8,54.7,57.2,59.7,60,59.4,57.2,54.3,52.5,50.4,41.2,29.7,34.8
12500,48.8,49,45,44.6,44,43.7,47.9,51.8,54.4,56.9,57.3,56.7,54.5,51.4,49.1,47,37.8,26.1,31.9
16000,44.7,44.8,41.2,41,40.3,40.3,44.8,48.8,51.4,54,54.5,53.9,51.6,48.5,45.8,43.6,34.4,22.3,28.9
20000,40.4,40.4,37.2,37.1,36.5,36.8,41.7,45.7,48.3,50.9,51.5,50.9,48.7,45.5,42.5,40.2,31,18.3,25.9
25000,35.7,35.6,32.8,32.9,32.3,33.1,38.3,42.4,44.9,47.6,48.3,47.8,45.6,42.4,39.1,36.8,27.6,14.2,22.8
