ac,eng,pwr,desc,unit,spd,dist,lmax,sel
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,200,108.35000000000001,112.75
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,250,106.04999999999998,111.05
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,315,103.44999999999999,109.05000000000001
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,400,100.94999999999999,107.15
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,500,98.15,104.95000000000002
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,630,95.45,102.85
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,800,92.5,100.5
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,1000,89.30000000000001,97.85
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,1250,86.05,95.35
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,1600,82.85,92.6
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,2000,79.55,89.89999999999999
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,2500,76.25,87.25
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,3150,73.0,84.55000000000001
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,4000,69.85,82.04999999999998
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,5000,66.60000000000001,79.4
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,6300,63.5,76.9
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,8000,60.45,74.45
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,10000,57.300000000000004,71.9
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,12500,54.0,69.2
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,16000,50.64999999999999,66.44999999999999
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,20000,47.150000000000006,63.55
C-17,F117-PW-100,89.0,Cruise,% NC,160 kts.,25000,43.6,60.60000000000001
