,ac,eng,pwr,desc,unit,spd,dist,lmax,sel
0,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,200,117.73636363636363,119.76363636363635
1,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,250,115.43636363636364,118.05454545454546
2,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,315,113.12727272727273,116.25454545454545
3,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,400,110.62727272727273,114.44545454545454
4,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,500,108.11818181818181,112.53636363636365
5,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,630,105.5090909090909,110.52727272727273
6,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,800,102.79090909090908,108.41818181818181
7,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,1000,99.97272727272727,106.19090909090909
8,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,1250,97.05454545454545,103.87272727272727
9,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,1600,94.03636363636363,101.37272727272727
10,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,2000,90.83636363636364,98.76363636363637
11,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,2500,87.44545454545454,96.06363636363636
12,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,3150,83.94545454545454,93.17272727272727
13,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,4000,80.34545454545454,90.17272727272727
14,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,5000,76.55454545454545,86.98181818181818
15,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,6300,72.57272727272726,83.5909090909091
16,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,8000,68.47272727272727,80.1
17,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,10000,64.28181818181818,76.4090909090909
18,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,12500,59.89090909090909,72.61818181818182
19,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,16000,55.3,68.71818181818182
20,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,20000,50.6,64.62727272727273
21,AV-8B,F402-RR-405,100.0,Cruise,% RPM,160 kts.,25000,45.70909090909091,60.236363636363635
