code,aircraft,engine,units,flight,static
M00901,A-10A,TF34-GE-100,NF,TRUE,TRUE
M00201,A-3,J57-P-10,% RPM,TRUE,TRUE
C03101,A-300,HIGH,LBS,TRUE,FALSE
C03401,A-310,HIGH,LBS,TRUE,FALSE
M01001,A-37,J85-GE-17A,% RPM,TRUE,TRUE
M00301,A-4C,J52-P-8B,% NC,TRUE,TRUE
M00401,A-5C,J79-GE-8C,% RPM,TRUE,TRUE
M00501,A-6A,J52-P-8A,% RPM,TRUE,TRUE
M00603,A-7,TF41-A-1,% RPM,FALSE,TRUE
M00601,A-7E,TF41-A-2,% NC,TRUE,TRUE
M65601,A109,Allison,KNOTS,TRUE,FALSE
C09701,A320*,CFM56-5A-1,LBS,TRUE,FALSE
M61101,AH-1G,T53-L-13,KNOTS,TRUE,TRUE
M61201,AH64,T700-GE-701,KNOTS,TRUE,TRUE
M65101,ASTAR,SA350D,KNOTS,TRUE,FALSE
C06201,ASTRA-1125,GARRETT,% RPM,TRUE,FALSE
M00701,AV-8A,F402-RR-401,% RPM,TRUE,TRUE
M00703,AV-8B,F402-RR-408,% RPM,FALSE,TRUE
M00702,AV-8B (F402-RR-405),F402-RR-405,% RPM,TRUE,FALSE
M00703,AV-8B (F402-RR-408),F402-RR-408,% RPM,TRUE,FALSE
M01201,B-1,F101-GE-100,% RPM,TRUE,TRUE
M01301,B-2A,F118-GE-100,PLA,TRUE,TRUE
M01401,B-52B&D&E,J57-P-19W,% RPM,TRUE,TRUE
M01402,B-52G,J57-P-43WA,% RPM,TRUE,TRUE
M01403,B-52H,TF33-P-3,LBS/HR,TRUE,TRUE
M01501,B-57E&G,J65-W-5/J65-W-5D,% RPM,TRUE,TRUE
C00701,B-707-120,(Q),LBS,TRUE,FALSE
C01001,B-707-120B,(N),LBS,TRUE,FALSE
C01601,B-707-320,(QN),LBS,TRUE,FALSE
C00901,B-707-320B,(N),LBS,TRUE,FALSE
C00801,B-720,(Q),LBS,TRUE,FALSE
C01101,B-720B,(N),LBS,TRUE,FALSE
C02501,B-727-1D7,(N),LBS,TRUE,FALSE
C02801,B-727-1QN7,(Q),LBS,TRUE,FALSE
C02601,B-727-2D15,(N),LBS,TRUE,FALSE
C03001,B-727-2D17,(Q),LBS,TRUE,FALSE
C02401,B-727-2D7,(N),LBS,TRUE,FALSE
C02901,B-727-2QN15,(Q),LBS,TRUE,FALSE
C02701,B-727-2QN9,(Q),LBS,TRUE,FALSE
C10101,B-727-EM5,JT8D-15,LBS,TRUE,FALSE
C10001,B-727-EM7,JT8D-7,LBS,TRUE,FALSE
C03501,B-737-300,B1,LBS,TRUE,FALSE
C03601,B-737-300,B2,LBS,TRUE,FALSE
C08501,B-737-400*,CFM56-3C-1,LBS,TRUE,FALSE
C08601,B-737-500*,CFM56-3B-1,LBS,TRUE,FALSE
C10201,B-737-700*,CFM56-7B-24,LBS,TRUE,FALSE
C04701,B-737-D17,(Q),LBS,TRUE,FALSE
C04201,B-737-D9,(N),LBS,TRUE,FALSE
C04501,B-737-QN9,(Q),LBS,TRUE,FALSE
C00101,B-747-100,(Q),LBS,TRUE,FALSE
C00301,B-747-100,(QN),LBS,TRUE,FALSE
C00201,B-747-200,(N),LBS,TRUE,FALSE
C08301,B-747-20A*,JT9D-7A,LBS,TRUE,FALSE
C00501,B-747-20B*,JT9D-7Q,LBS,TRUE,FALSE
C08401,B-747-400*,PW4056,LBS,TRUE,FALSE
C00401,B-747-SP,(N),LBS,TRUE,FALSE
C05201,B-757-200-PW*,PW2037,LBS,TRUE,FALSE
C05101,B-757-200-RR,RB211-535,LBS,TRUE,FALSE
C08701,B-767-300*,PW4060,LBS,TRUE,FALSE
C03201,B-767-CF6,CF6-80A/JT9D7R4,LBS,TRUE,FALSE
C03301,B-767-JT9,CF6-80A/JT9D7R4,LBS,TRUE,FALSE
C03701,BAC-111,JT8D(UNTREATED),LBS,TRUE,FALSE
C01501,BAE-146,TF,% RPM,TRUE,FALSE
C08801,BAE-300*,ALF502R-5,LBS,TRUE,FALSE
C06701,BAE-HS-748,RR,% RPM,TRUE,FALSE
C07601,BEECH,BARON,% RPM,TRUE,FALSE
M65701,BL212,(UH-1N),KNOTS,TRUE,FALSE
M65801,BL222,LTS101-650C3,KNOTS,TRUE,FALSE
M66001,BOELKOW,BO-105,KNOTS,TRUE,FALSE
M45401,BUCCANEER,Spey,% RPM,TRUE,TRUE
M02601,C-118,R-2800-52W,RPM,TRUE,TRUE
M02701,C-119L,R3350-89B,RPM,TRUE,TRUE
M01901,C-12,PT6A-38,% RPM,TRUE,TRUE
M02801,C-121,R3350-93A,RPM,TRUE,TRUE
M01101,C-123K,"R-2800-99W,",RPM,TRUE,TRUE
M02901,C-130A&D,T56-A-9,C TIT,TRUE,TRUE
M02902,C-130E,T56-A-7,C TIT,TRUE,TRUE
M02903,C-130H&N&P,T56-A-15,C TIT,TRUE,TRUE
M02904,C-130J,AE2100D3,HP,TRUE,TRUE
M03001,C-131B,R-2800-103W,RPM,TRUE,TRUE
M03101,C-135A,J57-P-59W,% RPM,TRUE,TRUE
M03102,C-135B,TF33-P-5,% RPM,TRUE,TRUE
M03201,C-137,TF33-P-5,% RPM,TRUE,TRUE
M03301,C-140,J60-P-5,% RPM,TRUE,TRUE
M03401,C-141A,TF33-P-7,% NF,TRUE,TRUE
M02001,C-17,F117-PW-100,% NC,TRUE,TRUE
M02101,C-18A,TF33-PW-102A,EPR,TRUE,TRUE
M02201,C-20,SPEYMK511-8,LBS,TRUE,TRUE
M02301,C-21A,TFE-731-2-2B,% NC,TRUE,TRUE
M02401,C-22,JT8D-7B,EPR,TRUE,TRUE
M02501,C-23,PT6A-65AR,% RPM,TRUE,TRUE
M01601,C-5A,TF39-GE-1A,EPR,TRUE,TRUE
M01602,C-5MX,CF6-80C2L1F,% N1,TRUE,TRUE
M01701,C-7A,R-2000-7M2,RPM,TRUE,TRUE
M01801,C-9A,JT8D-9A,EPR,TRUE,TRUE
M46401,CANBERRA,Avon,% RPM,TRUE,TRUE
C07301,CESSNA-441,TPROP,% RPM,TRUE,FALSE
C05701,CESSNA-500,TF,LBS,TRUE,FALSE
M60501,CH-3C,T58-GE-8B,% RPM,TRUE,FALSE
M62301,CH-46E,T58-GE-16,%Q-BPA,TRUE,TRUE
M60701,CH-47C,T55-L-11,% RPM,TRUE,FALSE
