ac,eng,power,Dist ft.,SEL A-G (dB),ALM A-G (dB),ps_num,retired
A-3,J57-P-10,Intermediate (88% RPM),200,111.9,107.9,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),250,110.3,105.7,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),315,108.7,103.4,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),400,107,101.2,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),500,105.3,98.8,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),630,103.5,96.5,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),800,101.7,94,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),1000,99.7,91.5,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),1250,97.7,88.9,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),1600,95.6,86.2,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),2000,93.4,83.3,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),2500,91.1,80.4,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),3150,88.6,77.4,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),4000,86,74.2,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),5000,83.3,70.9,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),6300,80.5,67.4,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),8000,77.5,63.8,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),10000,74.3,60.1,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),12500,71,56.1,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),16000,67.4,52,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),20000,63.7,47.6,88,TRUE
A-3,J57-P-10,Intermediate (88% RPM),25000,59.8,43.1,88,TRUE
A-3,J57-P-10,Intermediate (89% RPM),200,115.1,113.4,89,TRUE
A-3,J57-P-10,Intermediate (89% RPM),250,113.6,111.3,89,TRUE
A-3,J57-P-10,Intermediate (89% RPM),315,112,109.1,89,TRUE
A-3,J57-P-10,Intermediate (89% RPM),400,110.3,106.9,89,TRUE
A-3,J57-P-10,Intermediate (89% RPM),500,108.7,104.6,89,TRUE
A-3,J57-P-10,Intermediate (89% RPM),630,107,102.3,89,TRUE
