code,aircraft,engine
M00101,F100-PW-100,F100-PW-100
M00102,J75-P-17,J75-P-17
M00103,J75-P-19,J75-P-19
M00104,J79-GE-15,J79-GE-15
M00105,TF30-P-100,TF30-P-100
M00106,TF41-A-1,TF41-A-1
M00107,GRADE I,GRADE I
M00108,GRADE II,GRADE II
M00109,GRADE III,GRADE III
M00110,TEST CELL,TEST CELL
M00111,TEST STAND,TEST STAND
M00201,A-3,J57-P-10
M00301,A-4C,J52-P-8B
M00401,A-5C,J79-GE-8C
M00501,A-6A,J52-P-8A
M00601,A-7E,TF41-A-2
M00602,A-7,TF41-A-1
M00603,A-7,TF41-A-1
M00701,AV-8A,F402-RR-401
M00702,AV-8B,F402-RR-405
M00901,A-10A,TF34-GE-100
M01001,A-37,J85-GE-17A
M01001,A-37,J85-GE-17A
M01101,C-123K,"R-2800-99W, J85-17"
M01101,C-123K,"R-2800-99W, J85-17"
M01201,B-1,F101-GE-100
M01301,B-2A,F118-GE-100
M01401,B-52B&D&E,J57-P-19W
M01402,B-52G,J57-P-43WA
M01403,B-52H,TF33-P-3
M01501,B-57E&G,J65-W-5/J65-W-5D
M01601,C-5A,TF39-GE-1A
M01701,C-7A,R-2000-7M2
M01801,C-9A,JT8D-9A
M01901,C-12,PT6A-38
M02001,C-17,F117-PW-100
M02101,C-18A,TF33-PW-102A
M02201,C-20,SPEYMK511-8
M02301,C-21A,TFE-731-2-2B
M02401,C-22,JT8D-7B
M02501,C-23,PT6A-65AR
M02601,C-118,R-2800-52W
M02701,C-119L,R3350-89B
M02801,C-121,R3350-93A
M02901,C-130A&D,T56-A-9
M02902,C-130E,T56-A-7
M02903,C-130H&N&P,T56-A-15
M03001,C-131B,R-2800-103W
M03101,C-135A,J57-P-59W
M03102,C-135B,TF33-P-5
M03103,KC-135A,J57-P-59W
M03104,KC-135R,F108-CF-100
M03201,C-137,TF33-P-5
M03301,C-140,J60-P-5
M03401,C-141A,TF33-P-7
M08401,E-2C,T56-A-427
M03501,E-3A,TF33-P-100A
M03601,E-4,CF6-50C2
M03701,EA-6B,J52-P-408
M03801,E-8A,TF33-P-102A
M03901,F-4C,J79-GE-15E or -15
M03903,F-4,J79-GE-15
M03904,F-4,J79-GE-15
M04001,F-5A&B,J85-GE-13
M04002,F-5E,J85-GE-21
M04003,F-5,J85-GE-13
M04101,F-8,J57-P-20
M04201,F-14A,TF30-P-412A/412
M04202,F-14B,F110-GE-400
M04301,F-15A,F100-PW-100
M04302,F-15E,F100-PW-220
M04303,F-15E,F100-PW-220
M04304,F-15E,F100-PW-229
M04305,F-15,F100-PW-100
M04306,F-15,F100-PW-100
M04401,F-16A,F100-PW-100
M04402,F-16C,F100-PW-220
M04403,F-16C,F100-PW-229
M04404,F-16C,F110-GE-100
M04405,F-16C,F110-GE-129
M04406,F-16,F100-PW-100
M04407,F-16,F100-PW-100
M04501,F-18A/C,F404-GE-400&402
M04502,F-18E/F,F414-GE-400
M08501,F-22,F119-PW-100
M04601,F-100D,J57-P-21A
M04602,F-100,J57-P-21A
M04701,F-101B,J57-P-55
M04801,F-102,J57-P-23A
M04801,F-102,J57-P-23A
M04901,F-104D&G,J79-GE-11A/J79-GE-7
M05001,F-105D,J75-P-19W
M05002,F-105,J75-P-19
M05101,F-106,J75-P-17
M05102,F-106,J75-P-17
M05103,F-106,J75-P-17
M05201,F-111A&E,TF30-P-3
M05201,F-111A&E,TF30-P-3
M05202,F-111D,TF30-P-9
M05203,F-111F,TF30-P-100
M05204,FB-111A,TF30-P-7
M05205,F-111F,TF30-P-100
M05206,F-111A,TF30-P-3
M05301,F-117A,GE F404-F1D1
M05401,KC-10A,CF6-50C2
M05501,KC-97L,R4360-59B & J47-GE
M05601,OV-10A,T76-G-416/417
M05701,P-3A,T56-A-14
M05702,P-3C,T56-A-14
M05801,S-3A&B,TF34-GE-400A/B
M05901,SR-71,JT11D-20B(J58)
M06001,T-1,JT15D-5
M06001,T-1,JT15D-5
M06101,T-2C,J85-GE-4A
M06201,T-3 (FIREFLY),Lycoming Piston
M06401,T-29,R-2800-103W
M06501,T-33A,J33-A-35
M06601,T-34,PT6A-25
M06701,T-37B,J69-T-25
M06801,T-38A,J85-GE-5A
M06802,T-38,J85-GE-5
M06803,T-38,J85-GE-5A
M06901,T-39A,J60-P-3A
M07001,T-41,O-300-C
M07101,T-42,IO-470-L
M07201,T-43A,JT8D-9A
M07301,T-44,PT6A-34B
M07401,T-45,F405-RR-401
M07401,T-45,F405-RR-401
M07501,TR-1,J75-P-13
M07601,U-2,J75-P-13
M07701,U-4B,GSO-480-A1A6/B1
M07801,U-6,PT6A-25
M07901,U-8F,LYC 480-A1
M08001,U-21,PT6A-30
M08101,YC-14,CF6-50D
M08102,YC-14 FLAPS 30,CF6-50D
M08103,YC-14 THRUSTER,CF6-50D
M08201,YC-15,"JT8D-17, -209"
M08202,YC-15 FLAPS 24,"JT8D-17, -209"
M22201,L-1011,TF RB211-22B
M45001,PHANTOM,Spey Mk 202
M45101,TORNADO,RB.199-34R-04
M45201,JAGUAR,Turbomeca Adour
M45301,LIGHTNING,Avon 302C
M45401,BUCCANEER,Spey Turbojets
M45501,HARRIER,Pegasus
M45601,HUNTER,Avon Turbojet
M45701,VICTOR,Conway Turbofans
M45801,VULCAN,Olympus 301
M45901,NIMROD,Spey Mk 511-5W
M46001,VC10,Conway Turbofans
M46101,HAWK,RR Adour
M46201,PROVOST,Viper 202
M46301,DOMINIE,Viper 521 Turbojet
M46401,CANBERRA,Avon Turbojet
M46501,HS748,Dart 7 Mk 535
C01801,CONCORDE,OLYMPUS 593 TJ (AB)
M60301,HH-53,T64-GE-7
M60401,UH-1N,PT6T-3B Twin Pac
M60501,CH-3C,T58-GE-8B
M60601,CH-54B,JFTD-12A-5A
M60701,CH-47C,T55-L-11
M60801,UH-13,TVO-435-G1A
M60901,TH-55A,HIO-360-DIA
M61001,OH-6A,ALL-250-C20A
M61101,AH-1G,T53-L-13
M61201,AH64,T700-GE-701
M61301,CH-54,JTFD 12
M61401,OH58,Allison 250
M61501,OH58D,Allison 250 C30R
M61601,TH55,Lycoming Piston
M61701,UH-1B,T53-L-11
M61801,UH-1M,T53-L-13
M61901,CH47B,T55 Turboshafts
M62001,CH47D,T55-L-712
M62101,UH60A,T700-CE-700
M62201,CH-53E,T64-GE-416A
M62301,CH-46E,T58-GE-16
M65101,ASTAR SA350D,LTS 101-600A
M65201,DAUPHIN SA365N,Arriel 1C
M65301,GAZELLE SA341G,Astazou Turboshaft
M65401,PUMA SA330J,Turmo 4C
M65501,TWINSTAR SA355F,Allison 250 C20F
M65601,A109,Allison 250-C20B
M65701,BL212 (UH-1N),PT6T-3B
M65801,BL222,LTS101-650C3
M65901,CHINOOK (CH-47D),T55 Turboshafts
M66001,BOELKOW BO-105,Allison 250-C20B
M66101,HU500D/E (OH-6),Allison 250-C20B
M66201,SK61 (CH-3A),CT58-140
M66301,SK65 (CH-53),T64 Turboshafts
M66401,SK70 (UH-60A) BLACKH,T700-CE-700
M66501,SK76 SPIRIT,Allison 250-C30
C00101,B-747-100 (Q),JT9D(BLOW DOOR)
C00201,B-747-200 (N),JT9D(FIXED-LIP)
C00301,B-747-100 (QN),JT9D(FIXED-LIP)
C00401,B-747-SP (N),JT9D(FIXED-LIP)
C00501,B-747-20B*,JT9D-7Q
C00601,DC-8-20 (Q),PW-JT4A (SUPP)
C00701,B-707-120 (Q),PW-JT4A (SUPP)
C00801,B-720 (Q),PW-JT4A (SUPP)
C00901,B-707-320B (N),PW-JT3D UNTREAT
C01001,B-707-120B (N),PW-JT3D UNTREAT
C01101,B-720B (N),PW-JT3D UNTREAT
C01201,DC-8-50 (N),PW-JT3D UNTREAT
C01301,DC-8-60 (N),PW-JT3D UNTREAT
C01401,DC-8-70 (N),CFM56 RETROFIT
C01501,BAE-146,TF ALF-502R
C01601,B-707-320 (QN),PW-JT3D(LINED)
C01701,DC-8-60 (QN),PW-JT3D(LINED)
C01801,CONCORDE,OLYMPUS 593 TJ (AB)
C01901,DC-10-10,TF CF6-6D
C02001,DC-10-30,TF CF6-50C2
C02101,DC-10-40,TF CF6
C02301,L-1011-500,TF RB211-224B
C02401,B-727-2D7 (N),JT8D(UNTREATED)
C02501,B-727-1D7 (N),JT8D(UNTREATED)
C02601,B-727-2D15 (N),JT8D(UNTREATED)
C02701,B-727-2QN9 (Q),JT8D(AC-LINED)
C02801,B-727-1QN7 (Q),JT8D(AC-LINED)
C02901,B-727-2QN15 (Q),JT8D(AC-LINED)
C03001,B-727-2D17 (Q),JT8D(AC-LINED)
C03101,A-300,HIGH TB CF6-50C2
C03201,B-767-CF6,CF6-80A/JT9D7R4
C03301,B-767-JT9,CF6-80A/JT9D7R4
C03401,A-310,HIGH TB CF6-80C2A2
C03501,B-737-300 B1,CFM56-3B-1
C03601,B-737-300 B2,CFM56-3B-2
C03701,BAC-111,JT8D(UNTREATED)
C03801,F-28-MK2,RB183 MK555-15
C03901,F-28-MK4,RB183 MK555-15
C04001,DC-9-30D9 (N),JT8D(UNTREATED)
C04101,DC-9-10D7 (N),JT8D(UNTREATED)
C04201,B-737-D9 (N),JT8D(UNTREATED)
C04301,DC-9-30QN9 (Q),JT8D(AC-LINED)
C04401,DC-9-10QN7 (Q),JT8D(AC-LINED)
C04501,B-737-QN9 (Q),JT8D(AC-LINED)
C04601,DC-9-50D17 (Q),JT8D(AC-LINED)
C04701,B-737-D17 (Q),JT8D(AC-LINED)
C04801,MD-81,JT8D-209/217
C04901,MD-82,JT8D-209/217
C05001,MD-83,JT8D-209/217
C05101,B-757-200-RR,RB211-535
C05201,B-757-200-PW*,PW2037
C05301,COMPOS BUS JET,TURBOJET & FAN
C05401,LEARJET-35,TF TFE 731-2
C05501,LEARJET-25,TJ CJ610-8
C05601,SABER-80,TF CF700
C05701,CESSNA-500,TF JT15D-4
C05801,CL-600,TF ALF502L
C05901,GULF-GIIB,SPEY MK511-8
C06001,MU-3001,TF JT15D-5
C06101,CL-601,TF CF34-3A
C06201,ASTRA-1125,GARRETT TFE 731-3A
C06301,ELECTRA-188,T56-A-7/501-D13
C06401,DHC-8*,PW121
C06501,DHC-7,TP PT6A-50
C06601,CONVAIR-580,ALLISON 501-D13
C06701,BAE-HS-748,RR DART MK532
C06801,SHORTS SD3-30,TP PT6A-45AR
C06901,DHC-6,TP PT6A-27
C07001,DC-6 R2800,R2800-CB17
C07101,DC-3 R2800,PIST>12500
C07201,SAAB-340,TP GE CT7-9B
C07301,CESSNA-441 TPROP,TPE331-8
C07401,GASEPV VAR PTCH,VAR PITCH PROP
C07501,GASEPF FIX PITCH,FIXED PITCH PROP
C07601,BEECH BARON 58P,TS10-520-L
C07701,COMPOS 1985 PISTON,1985 FLEET
C08101,HERCULES-380,T56-A-15
C08301,B-747-20A*,JT9D-7A
C08401,B-747-400*,PW4056
C08501,B-737-400*,CFM56-3C-1
C08601,B-737-500*,CFM56-3B-1
C08701,B-767-300*,PW4060
C08801,BAE-300*,ALF502R-5
C08901,F10062*,TAY 620-15
C09001,F10065*,TAY 650-15
C09501,CIT3*,TFE731-3-100S
C09601,GIV*,TAY 611
C09701,A320*,CFM56-5A-1
C09801,FALCON 20*,CF700-2D-2
