,aircraft,engine,units
0,A-3,J57-P-10,% RPM
1,A-4C,J52-P-8B,% NC
2,A-5C,J79-GE-8C,% RPM
3,A-6A,J52-P-8A,% RPM
4,A-7E,TF41-A-2,% NC
5,AV-8A,F402-RR-401,% RPM
6,AV-8B,F402-RR-405,% RPM
7,AV-8B,F402-RR-408,% RPM
8,A-10A,TF34-GE-100,NF
9,A-37,J85-GE-17A,% RPM
10,C-123K,"R-2800-99W,",RPM
11,B-1,F101-GE-100,% RPM
12,B-2A,F118-GE-100,PLA
13,B-52B&D&E,J57-P-19W,% RPM
14,B-52G,J57-P-43WA,% RPM
15,B-52H,TF33-P-3,LBS/HR
16,B-57E&G,J65-W-5/J65-W-5D,% RPM
17,C-5A,TF39-GE-1A,EPR
18,C-5MX,CF6-80C2L1F,% N1
19,C-7A,R-2000-7M2,RPM
20,C-9A,JT8D-9A,EPR
21,C-12,PT6A-38,% RPM
22,C-17,F117-PW-100,% NC
23,C-18A,TF33-PW-102A,EPR
24,C-20,SPEYMK511-8,LBS
25,C-21A,TFE-731-2-2B,% NC
26,C-22,JT8D-7B,EPR
27,C-23,PT6A-65AR,% RPM
28,C-118,R-2800-52W,RPM
29,C-119L,R3350-89B,RPM
30,C-121,R3350-93A,RPM
31,C-130A&D,T56-A-9,C TIT
32,C-130E,T56-A-7,C TIT
33,C-130H&N&P,T56-A-15,C TIT
34,C-130J,AE2100D3,HP
35,C-131B,R-2800-103W,RPM
36,C-135A,J57-P-59W,% RPM
37,C-135B,TF33-P-5,% RPM
38,KC-135R,F108-CF-100,% NF
39,C-137,TF33-P-5,% RPM
40,C-140,J60-P-5,% RPM
41,C-141A,TF33-P-7,% NF
42,E-3A,TF33-P-100A,EPR
43,E-4,CF6-50C2,% N1
44,EA-6B,J52-P-408,% RPM
45,E-8A,TF33-P-102A,EPR
46,F-4C,J79-GE-15E,% RPM
47,F-5A&B,J85-GE-13,% RPM
48,F-5E,J85-GE-21,% RPM
49,F-8,J57-P-20,% RPM
50,F-14A,TF30-P-412A/412,% NC
51,F-14B,F110-GE-400,% NC
52,F-15A,F100-PW-100,% NC
53,F-15E,F100-PW-220,% NC
54,F-15E,F100-PW-229,% NC
55,F-16A,F100-PW-100,% NC
56,F-16C,F100-PW-220,% NC
57,F-16C,F100-PW-229,% NC
58,F-16C,F110-GE-100,% NC
59,F-16C,F110-GE-129,% NC
60,F-18A/C,F404-GE-400&402,% NC
61,F-18E/F,F414-GE-400,% NC
62,F-100D,J57-P-21A,% RPM
63,F-101B,J57-P-55,% NC
64,F-102,J57-P-23A,% NC
65,F-104D&G,J79-GE-11A/J79-GE-7,% RPM
66,F-105D,J75-P-19W,% NC
67,F-106,J75-P-17,% RPM
68,F-111A&E,TF30-P-3,% NC
69,F-111D,TF30-P-9,% NC
70,F-111F,TF30-P-100,% NC
71,FB-111A,TF30-P-7,% NC
72,F-117A,GE,% RPM
73,KC-10A,CF6-50C2,% N1
74,KC-97L,R4360-59B,IN HG
75,OV-10A,T76-G-416/417,% RPM
76,P-3A,T56-A-14,ESHP
77,P-3C,T56-A-14,ESHP
78,S-3A&B,TF34-GE-400A/B,% NC
79,SR-71,JT11D-20B(J58),% NC
80,T-1,JT15D-5,% NC
81,T-2C,J85-GE-4A,% RPM
82,T-3,(FIREFLY),% RPM
83,T-29,R-2800-103W,RPM
84,T-33A,J33-A-35,% RPM
85,T-34,PT6A-25,% RPM
86,T-37B,J69-T-25,% RPM
87,T-38A,J85-GE-5A,% RPM
88,T-38C,J-85R-GE-5,% RPM
89,T-39A,J60-P-3A,% RPM
90,T-41,O-300-C,% RPM
91,T-42,IO-470-L,% RPM
92,T-43A,JT8D-9A,EPR
93,T-44,PT6A-34B,% RPM
94,T-45,F405-RR-401,% RPM
95,TR-1,J75-P-13,% RPM
96,U-2,J75-P-13,% RPM
97,U-4B,GSO-480-A1A6/B1,IN HG
98,U-6,PT6A-25,% RPM
99,U-8F,LYC,% RPM
100,U-21,PT6A-30,% RPM
101,YC-14,CF6-50D,% NF
102,YC-15,"JT8D-17,",EPR
103,E-2C,T56-A-427,ISHP
104,F-22,F119-PW-100,% ETR
105,X-35,JSF119-PW-611,% ETR
106,F-35AA,F-135PP,% ETR
107,T-6,PT6A-68,% Torque
108,PHANTOM,Spey,% RPM
109,TORNADO,RB.199-34R-04,% RPM
110,JAGUAR,Turbomeca,% RPM
111,LIGHTNING,Avon,% RPM
112,BUCCANEER,Spey,% RPM
113,HARRIER,Pegasus,% RPM
114,HUNTER,Avon,% RPM
115,VICTOR,Conway,% RPM
116,VULCAN,Olympus,% RPM
117,NIMROD,Spey,% RPM
118,VC10,Conway,% RPM
119,HAWK,RR,% RPM
120,PROVOST,Viper,% RPM
121,DOMINIE,Viper,% RPM
122,CANBERRA,Avon,% RPM
123,HS748,Dart,% RPM
124,HH-53,T64-GE-7,% RPM
125,UH-1N,PT6T-3B,% RPM
126,CH-3C,T58-GE-8B,% RPM
127,CH-54B,JFTD-12A-5A,% RPM
128,CH-47C,T55-L-11,% RPM
129,UH-13,TVO-435-G1A,% RPM
130,TH-55A,HIO-360-DIA,% RPM
131,OH-6A,ALL-250-C20A,% RPM
132,AH-1G,T53-L-13,KNOTS
133,AH64,T700-GE-701,KNOTS
134,OH58,Allison,KNOTS
135,OH58D,Allison,KNOTS
136,TH55,Lycoming,KNOTS
137,CH47B,T55,KNOTS
138,CH47D,T55-L-712,KNOTS
139,UH60A,T700-CE-700,KNOTS
140,CH-53E,T64-GE-416A,%Q-BPA
141,CH-46E,T58-GE-16,%Q-BPA
142,ASTAR,SA350D,KNOTS
143,DAUPHIN,SA365N,KNOTS
144,GAZELLE,SA341G,KNOTS
145,PUMA,SA330J,KNOTS
146,TWINSTAR,SA355F,KNOTS
147,A109,Allison,KNOTS
148,BL212,(UH-1N),KNOTS
149,BL222,LTS101-650C3,KNOTS
150,CHINOOK,(CH-47D),KNOTS
151,BOELKOW,BO-105,KNOTS
152,HU500D/E,(OH-6),KNOTS
153,SK61,(CH-3A),KNOTS
154,SK65,(CH-53),KNOTS
155,SK70,(UH-60A),KNOTS
156,SK76,SPIRIT,KNOTS
157,B-747-100,(Q),LBS
158,B-747-200,(N),LBS
159,B-747-100,(QN),LBS
160,B-747-SP,(N),LBS
161,B-747-20B*,JT9D-7Q,LBS
162,DC-8-20,(Q),LBS
163,B-707-120,(Q),LBS
164,B-720,(Q),LBS
165,B-707-320B,(N),LBS
166,B-707-120B,(N),LBS
167,B-720B,(N),LBS
168,DC-8-50,(N),LBS
169,DC-8-60,(N),LBS
170,DC-8-70,(N),LBS
171,BAE-146,TF,% RPM
172,B-707-320,(QN),LBS
173,DC-8-60,(QN),LBS
174,CONCORDE,OLYMPUS,LBS
175,DC-10-10,TF,LBS
176,DC-10-30,TF,LBS
177,DC-10-40,TF,LBS
178,L-1011,TF,LBS
179,L-1011-500,TF,LBS
180,B-727-2D7,(N),LBS
181,B-727-1D7,(N),LBS
182,B-727-2D15,(N),LBS
183,B-727-2QN9,(Q),LBS
184,B-727-1QN7,(Q),LBS
185,B-727-2QN15,(Q),LBS
186,B-727-2D17,(Q),LBS
187,A-300,HIGH,LBS
188,B-767-CF6,CF6-80A/JT9D7R4,LBS
189,B-767-JT9,CF6-80A/JT9D7R4,LBS
190,A-310,HIGH,LBS
191,B-737-300,B1,LBS
192,B-737-300,B2,LBS
193,BAC-111,JT8D(UNTREATED),LBS
194,F-28-MK2,RB183,LBS
195,F-28-MK4,RB183,LBS
196,DC-9-30D9,(N),LBS
197,DC-9-10D7,(N),LBS
198,B-737-D9,(N),LBS
199,DC-9-30QN9,(Q),LBS
200,DC-9-10QN7,(Q),LBS
201,B-737-QN9,(Q),LBS
202,DC-9-50D17,(Q),LBS
203,B-737-D17,(Q),LBS
204,MD-81,JT8D-209/217,LBS
205,MD-82,JT8D-209/217,LBS
206,MD-83,JT8D-209/217,LBS
207,B-757-200-RR,RB211-535,LBS
208,B-757-200-PW*,PW2037,LBS
209,COMPOS,BUS,% RPM
210,LEARJET-35,TF,LBS
211,LEARJET-25,TJ,LBS
212,SABER-80,TF,LBS
213,CESSNA-500,TF,LBS
214,CL-600,TF,LBS
215,GULF-GIIB,SPEY,LBS
216,MU-3001,TF,LBS
217,CL-601,TF,LBS
218,ASTRA-1125,GARRETT,% RPM
219,ELECTRA-188,T56-A-7/501-D13,% RPM
220,DHC-8*,PW121,% RPM
221,DHC-7,TP,% RPM
222,CONVAIR-580,ALLISON,% RPM
223,BAE-HS-748,RR,% RPM
224,SHORTS,SD3-30,% RPM
225,DHC-6,TP,% RPM
226,DC-6,R2800,% RPM
227,DC-3,R2800,% RPM
228,SAAB-340,TP,% RPM
229,CESSNA-441,TPROP,% RPM
230,GASEPV,VAR,% RPM
231,GASEPF,FIX,% RPM
232,BEECH,BARON,% RPM
233,COMPOS,1985,% RPM
234,HERCULES-380,T56-A-15,% RPM
235,B-747-20A*,JT9D-7A,LBS
236,B-747-400*,PW4056,LBS
237,B-737-400*,CFM56-3C-1,LBS
238,B-737-500*,CFM56-3B-1,LBS
239,B-737-700*,CFM56-7B-24,LBS
240,B-767-300*,PW4060,LBS
241,CITATIONX*,RR,LBS
242,BAE-300*,ALF502R-5,LBS
243,F10062*,TAY,LBS
244,F10065*,TAY,LBS
245,CIT3*,TFE731-3-100S,LBS
246,GIV*,TAY,LBS
247,A320*,CFM56-5A-1,LBS
248,FALCON,20*,LBS
249,DHC-830*,PW123,% RPM
250,B-727-EM7,JT8D-7,LBS
251,B-727-EM5,JT8D-15,LBS
252,F-35A,F-135-PW-100,% ETR
253,F-35B,F-135-PW-600,% ETR
254,KC-46X,PW4062,% N1
