,code,aircraft,engine,units
0,M00201,A-3,J57-P-10,% RPM
1,M00301,A-4C,J52-P-8B,% NC
2,M00401,A-5C,J79-GE-8C,% RPM
3,M00501,A-6A,J52-P-8A,% RPM
4,M00601,A-7E,TF41-A-2,% NC
5,M00701,AV-8A,F402-RR-401,% RPM
6,M00702,AV-8B,F402-RR-405,% RPM
7,M00702,AV-8B,F402-RR-408,% RPM
8,M00901,A-10A,TF34-GE-100,NF
9,M01001,A-37,J85-GE-17A,% RPM
10,M01001,A-37,J85-GE-17A,% RPM
11,M01101,C-123K,"R-2800-99W,",RPM
12,M01101,C-123K,"R-2800-99W,",RPM
13,M01201,B-1,F101-GE-100,% RPM
14,M01301,B-2A,F118-GE-100,PLA
15,M01401,B-52B&D&E,J57-P-19W,% RPM
16,M01402,B-52G,J57-P-43WA,% RPM
17,M01403,B-52H,TF33-P-3,LBS/HR
18,M01501,B-57E&G,J65-W-5/J65-W-5D,% RPM
19,M01601,C-5A,TF39-GE-1A,EPR
20,M01701,C-7A,R-2000-7M2,RPM
21,M01801,C-9A,JT8D-9A,EPR
22,M01901,C-12,PT6A-38,% RPM
23,M02001,C-17,F117-PW-100,% NC
24,M02101,C-18A,TF33-PW-102A,EPR
25,M02201,C-20,SPEYMK511-8,LBS
26,M02301,C-21A,TFE-731-2-2B,% NC
27,M02401,C-22,JT8D-7B,EPR
28,M02501,C-23,PT6A-65AR,% RPM
29,M02601,C-118,R-2800-52W,RPM
30,M02701,C-119L,R3350-89B,RPM
31,M02801,C-121,R3350-93A,RPM
32,M02901,C-130A&D,T56-A-9,C TIT
33,M02902,C-130E,T56-A-7,C TIT
34,M02903,C-130H&N&P,T56-A-15,C TIT
35,M03001,C-131B,R-2800-103W,RPM
36,M03101,C-135A,J57-P-59W,% RPM
37,M03102,C-135B,TF33-P-5,% RPM
38,M03104,KC-135R,F108-CF-100,% NF
39,M03201,C-137,TF33-P-5,% RPM
40,M03301,C-140,J60-P-5,% RPM
41,M03401,C-141A,TF33-P-7,% NF
42,M08401,E-2C,T56-A-427,ISHP
43,M03501,E-3A,TF33-P-100A,EPR
44,M03601,E-4,CF6-50C2,% N1
45,M03701,EA-6B,J52-P-408,% RPM
46,M03801,E-8A,TF33-P-102A,EPR
47,M03901,F-4C,J79-GE-15E,% RPM
48,M04001,F-5A&B,J85-GE-13,% RPM
49,M04002,F-5E,J85-GE-21,% RPM
50,M04101,F-8,J57-P-20,% RPM
51,M04201,F-14A,TF30-P-412A/412,% NC
52,M04202,F-14B,F110-GE-400,% NC
53,M04301,F-15A,F100-PW-100,% NC
54,M04302,F-15E,F100-PW-220,% NC
55,M04302,F-15E,F100-PW-229,% NC
56,M04303,F-15E,F100-PW-220,% NC
57,M04303,F-15E,F100-PW-229,% NC
58,M04304,F-15E,F100-PW-220,% NC
59,M04304,F-15E,F100-PW-229,% NC
60,M04401,F-16A,F100-PW-100,% NC
61,M04402,F-16C,F100-PW-220,% NC
62,M04402,F-16C,F100-PW-229,% NC
63,M04402,F-16C,F110-GE-100,% NC
64,M04402,F-16C,F110-GE-129,% NC
65,M04403,F-16C,F100-PW-220,% NC
66,M04403,F-16C,F100-PW-229,% NC
67,M04403,F-16C,F110-GE-100,% NC
68,M04403,F-16C,F110-GE-129,% NC
69,M04404,F-16C,F100-PW-220,% NC
70,M04404,F-16C,F100-PW-229,% NC
71,M04404,F-16C,F110-GE-100,% NC
72,M04404,F-16C,F110-GE-129,% NC
73,M04405,F-16C,F100-PW-220,% NC
74,M04405,F-16C,F100-PW-229,% NC
75,M04405,F-16C,F110-GE-100,% NC
76,M04405,F-16C,F110-GE-129,% NC
77,M04501,F-18A/C,F404-GE-400&402,% NC
78,M04502,F-18E/F,F414-GE-400,% NC
79,M08501,F-22,F119-PW-100,% ETR
80,M04601,F-100D,J57-P-21A,% RPM
81,M04701,F-101B,J57-P-55,% NC
82,M04801,F-102,J57-P-23A,% NC
83,M04801,F-102,J57-P-23A,% NC
84,M04901,F-104D&G,J79-GE-11A/J79-GE-7,% RPM
85,M05001,F-105D,J75-P-19W,% NC
86,M05101,F-106,J75-P-17,% RPM
87,M05102,F-106,J75-P-17,% RPM
88,M05103,F-106,J75-P-17,% RPM
89,M05201,F-111A&E,TF30-P-3,% NC
90,M05201,F-111A&E,TF30-P-3,% NC
91,M05202,F-111D,TF30-P-9,% NC
92,M05203,F-111F,TF30-P-100,% NC
93,M05205,F-111F,TF30-P-100,% NC
94,M05204,FB-111A,TF30-P-7,% NC
95,M05301,F-117A,GE,% RPM
96,M05401,KC-10A,CF6-50C2,% N1
97,M05501,KC-97L,R4360-59B,IN HG
98,M05601,OV-10A,T76-G-416/417,% RPM
99,M05701,P-3A,T56-A-14,ESHP
100,M05702,P-3C,T56-A-14,ESHP
101,M05801,S-3A&B,TF34-GE-400A/B,% NC
102,M05901,SR-71,JT11D-20B(J58),% NC
103,M06001,T-1,JT15D-5,% NC
104,M06001,T-1,JT15D-5,% NC
105,M06101,T-2C,J85-GE-4A,% RPM
106,M06401,T-29,R-2800-103W,RPM
107,M06501,T-33A,J33-A-35,% RPM
108,M06601,T-34,PT6A-25,% RPM
109,M06701,T-37B,J69-T-25,% RPM
110,M06801,T-38A,J85-GE-5A,% RPM
111,M06901,T-39A,J60-P-3A,% RPM
112,M07001,T-41,O-300-C,% RPM
113,M07101,T-42,IO-470-L,% RPM
114,M07201,T-43A,JT8D-9A,EPR
115,M07301,T-44,PT6A-34B,% RPM
116,M07401,T-45,F405-RR-401,% RPM
117,M07401,T-45,F405-RR-401,% RPM
118,M07501,TR-1,J75-P-13,% RPM
119,M07601,U-2,J75-P-13,% RPM
120,M07701,U-4B,GSO-480-A1A6/B1,IN HG
121,M07801,U-6,PT6A-25,% RPM
122,M07901,U-8F,LYC,% RPM
123,M08001,U-21,PT6A-30,% RPM
124,M08101,YC-14,CF6-50D,% NF
125,M08201,YC-15,"JT8D-17,",EPR
126,M22201,L-1011,TF,LBS
127,M45001,PHANTOM,Spey,% RPM
128,M45101,TORNADO,RB.199-34R-04,% RPM
129,M45201,JAGUAR,Turbomeca,% RPM
130,M45301,LIGHTNING,Avon,% RPM
131,M45401,BUCCANEER,Spey,% RPM
132,M45501,HARRIER,Pegasus,% RPM
133,M45601,HUNTER,Avon,% RPM
134,M45701,VICTOR,Conway,% RPM
135,M45801,VULCAN,Olympus,% RPM
136,M45901,NIMROD,Spey,% RPM
137,M46001,VC10,Conway,% RPM
138,M46101,HAWK,RR,% RPM
139,M46201,PROVOST,Viper,% RPM
140,M46301,DOMINIE,Viper,% RPM
141,M46401,CANBERRA,Avon,% RPM
142,M46501,HS748,Dart,% RPM
143,C01801,CONCORDE,OLYMPUS,LBS
144,C01801,CONCORDE,OLYMPUS,LBS
145,M60301,HH-53,T64-GE-7,% RPM
146,M60401,UH-1N,PT6T-3B,% RPM
147,M60501,CH-3C,T58-GE-8B,% RPM
148,M60601,CH-54B,JFTD-12A-5A,% RPM
149,M60701,CH-47C,T55-L-11,% RPM
150,M60801,UH-13,TVO-435-G1A,% RPM
151,M60901,TH-55A,HIO-360-DIA,% RPM
152,M61001,OH-6A,ALL-250-C20A,% RPM
153,M61101,AH-1G,T53-L-13,KNOTS
154,M61201,AH64,T700-GE-701,KNOTS
155,M61401,OH58,Allison,KNOTS
156,M61501,OH58D,Allison,KNOTS
157,M61601,TH55,Lycoming,KNOTS
158,M61901,CH47B,T55,KNOTS
159,M62001,CH47D,T55-L-712,KNOTS
160,M62101,UH60A,T700-CE-700,KNOTS
161,M62201,CH-53E,T64-GE-416A,%Q-BPA
162,M62301,CH-46E,T58-GE-16,%Q-BPA
163,M65601,A109,Allison,KNOTS
164,M65801,BL222,LTS101-650C3,KNOTS
165,C00501,B-747-20B*,JT9D-7Q,LBS
166,C01501,BAE-146,TF,% RPM
167,C01901,DC-10-10,TF,LBS
168,C02001,DC-10-30,TF,LBS
169,C02101,DC-10-40,TF,LBS
170,C02301,L-1011-500,TF,LBS
171,C03101,A-300,HIGH,LBS
172,C03201,B-767-CF6,CF6-80A/JT9D7R4,LBS
173,C03301,B-767-JT9,CF6-80A/JT9D7R4,LBS
174,C03401,A-310,HIGH,LBS
175,C03701,BAC-111,JT8D(UNTREATED),LBS
176,C03801,F-28-MK2,RB183,LBS
177,C03901,F-28-MK4,RB183,LBS
178,C04801,MD-81,JT8D-209/217,LBS
179,C04901,MD-82,JT8D-209/217,LBS
180,C05001,MD-83,JT8D-209/217,LBS
181,C05101,B-757-200-RR,RB211-535,LBS
182,C05201,B-757-200-PW*,PW2037,LBS
183,C05401,LEARJET-35,TF,LBS
